年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-28,2020-12-28,0.0990,2020-12-29
2019年,2019-12-19,2019-12-19,0.0226,2019-12-20
2019年,2019-11-25,2019-11-25,0.0257,2019-11-26
2019年,2019-10-18,2019-10-18,0.0318,2019-10-21
2019年,2019-09-26,2019-09-26,0.0465,2019-09-27
2018年,2018-12-26,2018-12-26,0.0090,2018-12-27
2018年,2018-11-26,2018-11-26,0.0221,2018-11-27
2018年,2018-08-22,2018-08-22,0.0602,2018-08-23
2017年,2017-08-23,2017-08-23,0.2180,2017-08-24
2013年,2013-09-11,2013-09-11,0.1500,2013-09-12
2012年,2012-09-26,2012-09-26,0.2000,2012-09-27
2007年,2007-01-29,2007-01-29,0.1200,2007-01-30
