年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-02-24,2021-02-24,0.0750,2021-02-25
2021年,2021-02-08,2021-02-08,0.1000,2021-02-09
2020年,2020-03-06,2020-03-06,0.0450,2020-03-09
2020年,2020-01-21,2020-01-21,0.0500,2020-01-22
2018年,2018-02-06,2018-02-06,0.0050,2018-02-07
2018年,2018-01-15,2018-01-15,0.0960,2018-01-16
2016年,2016-01-20,2016-01-20,0.1200,2016-01-21
2014年,2014-01-21,2014-01-21,0.0030,2014-01-22
2010年,2010-11-19,2010-11-19,0.0300,2010-11-22
2007年,2007-12-10,2007-12-10,0.0300,2007-12-11
2007年,2007-09-04,2007-09-04,0.0300,2007-09-05
