年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-15,2021-01-15,0.1057,2021-01-18
2020年,2020-01-14,2020-01-14,0.0076,2020-01-15
2018年,2018-01-15,2018-01-15,0.0269,2018-01-16
2016年,2016-01-19,2016-01-19,0.0780,2016-01-20
2015年,2015-04-28,2015-04-28,0.1100,2015-04-29
2011年,2011-03-16,2011-03-16,0.0350,2011-03-17
2010年,2010-10-29,2010-10-29,0.0150,2010-11-01
2010年,2010-03-18,2010-03-18,0.0850,2010-03-19
2009年,2009-09-15,2009-09-15,0.1900,2009-09-16
2009年,2009-07-13,2009-07-13,0.2000,2009-07-14
2009年,2009-05-26,2009-05-26,0.1000,2009-05-27
2007年,2007-01-23,2007-01-23,0.2000,2007-01-24
2006年,2006-06-19,2006-06-19,0.1850,2006-06-20
2006年,2006-03-01,2006-03-01,0.0150,2006-03-02
