年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-07-17,2020-07-17,0.0200,2020-07-21
2016年,2016-01-08,2016-01-08,0.0700,2016-01-12
2015年,2015-12-08,2015-12-08,0.0800,2015-12-10
2015年,2015-11-11,2015-11-11,0.1000,2015-11-13
2015年,2015-08-24,2015-08-24,0.1600,2015-08-26
2015年,2015-07-27,2015-07-27,0.1600,2015-07-29
2015年,2015-06-23,2015-06-23,0.2100,2015-06-25
2015年,2015-05-27,2015-05-27,0.1300,2015-05-29
2015年,2015-04-24,2015-04-24,0.1500,2015-04-28
2015年,2015-03-24,2015-03-24,0.0460,2015-03-26
2015年,2015-01-28,2015-01-28,0.0600,2015-01-30
2014年,2014-12-17,2014-12-17,0.1000,2014-12-19
2014年,2014-10-24,2014-10-24,0.0900,2014-10-28
2007年,2007-11-06,2007-11-06,0.0650,2007-11-07
2007年,2007-10-15,2007-10-15,0.0400,2007-10-16
