年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-08-28,2020-08-28,0.0300,2020-08-31
2020年,2020-06-24,2020-06-24,0.0460,2020-06-29
2019年,2019-06-26,2019-06-26,0.0230,2019-06-27
2019年,2019-03-22,2019-03-22,0.0161,2019-03-25
2018年,2018-12-26,2018-12-26,0.0114,2018-12-27
2018年,2018-11-08,2018-11-08,0.0100,2018-11-09
2018年,2018-09-25,2018-09-25,0.0090,2018-09-26
2018年,2018-06-25,2018-06-25,0.0070,2018-06-26
2018年,2018-03-22,2018-03-22,0.0050,2018-03-23
2017年,2017-12-25,2017-12-25,0.0080,2017-12-26
2015年,2015-11-11,2015-11-11,0.2800,2015-11-12
2012年,2012-12-24,2012-12-24,0.0600,2012-12-25
2012年,2012-03-29,2012-03-29,0.0300,2012-03-30
