年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-28,2020-12-28,0.0600,2020-12-29
2019年,2019-09-26,2019-09-26,0.0384,2019-09-27
2018年,2018-06-25,2018-06-25,0.0440,2018-06-26
2018年,2018-01-11,2018-01-11,0.0070,2018-01-12
2016年,2016-11-28,2016-11-28,0.2300,2016-11-29
2016年,2016-01-14,2016-01-14,0.0300,2016-01-15
2015年,2015-01-14,2015-01-14,0.0430,2015-01-15
2013年,2013-05-17,2013-05-17,0.0500,2013-05-20
2013年,2013-04-11,2013-04-11,0.0100,2013-04-12
2011年,2011-01-21,2011-01-21,0.0150,2011-01-24
2010年,2010-01-29,2010-01-29,0.0100,2010-02-01
2009年,2009-03-23,2009-03-23,0.0180,2009-03-24
