年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-20,2021-01-20,0.0037,2021-01-21
2020年,2020-10-26,2020-10-26,0.0330,2020-10-27
2020年,2020-07-20,2020-07-20,0.0280,2020-07-21
2020年,2020-04-20,2020-04-20,0.0340,2020-04-21
2020年,2020-01-16,2020-01-16,0.0130,2020-01-17
2019年,2019-10-22,2019-10-22,0.0180,2019-10-23
2019年,2019-07-17,2019-07-17,0.0100,2019-07-18
2019年,2019-04-18,2019-04-18,0.0260,2019-04-19
2019年,2019-01-18,2019-01-18,0.0090,2019-01-21
2018年,2018-10-24,2018-10-24,0.0140,2018-10-25
2018年,2018-07-17,2018-07-17,0.0240,2018-07-18
2018年,2018-04-19,2018-04-19,0.0120,2018-04-20
2018年,2018-01-17,2018-01-17,0.0250,2018-01-18
2017年,2017-10-25,2017-10-25,0.0400,2017-10-26
2017年,2017-07-19,2017-07-19,0.0100,2017-07-20
2017年,2017-04-20,2017-04-20,0.0100,2017-04-21
2016年,2016-01-20,2016-01-20,0.1000,2016-01-21
2015年,2015-07-20,2015-07-20,0.0200,2015-07-21
2015年,2015-04-20,2015-04-20,0.0800,2015-04-21
2015年,2015-01-22,2015-01-22,0.0640,2015-01-23
2014年,2014-10-22,2014-10-22,0.0120,2014-10-23
2014年,2014-07-17,2014-07-17,0.0050,2014-07-18
2014年,2014-01-21,2014-01-21,0.0020,2014-01-22
2013年,2013-10-25,2013-10-25,0.0100,2013-10-28
2013年,2013-07-18,2013-07-18,0.0100,2013-07-19
2013年,2013-05-07,2013-05-07,0.0100,2013-05-08
2013年,2013-01-23,2013-01-23,0.0160,2013-01-24
2012年,2012-11-12,2012-11-12,0.0060,2012-11-13
2012年,2012-07-19,2012-07-19,0.0100,2012-07-20
2010年,2010-12-22,2010-12-22,0.0500,2010-12-23
2010年,2010-11-22,2010-11-22,0.0050,2010-11-23
2010年,2010-07-26,2010-07-26,0.0050,2010-07-27
2010年,2010-04-19,2010-04-19,0.0050,2010-04-20
2010年,2010-01-28,2010-01-28,0.0150,2010-01-29
2009年,2009-11-18,2009-11-18,0.0100,2009-11-19
