年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-02-01,2021-02-01,0.1260,2021-02-02
2020年,2020-01-21,2020-01-21,0.0777,2020-01-22
2016年,2016-03-04,2016-03-04,0.1000,2016-03-07
2015年,2015-03-02,2015-03-02,0.0200,2015-03-03
2014年,2014-02-24,2014-02-24,0.0771,2014-02-25
2011年,2011-02-23,2011-02-23,0.0300,2011-02-24
2010年,2010-01-21,2010-01-21,0.0100,2010-01-22
2007年,2007-05-30,2007-05-31,0.6300,2007-06-01
2006年,2006-12-07,2006-12-08,0.6500,2006-12-11
2006年,2006-04-07,2006-04-10,0.1500,2006-04-11
2006年,2006-01-06,2006-01-09,0.0200,2006-01-10
2004年,2004-03-11,2004-03-12,0.0850,2004-03-15
2003年,2003-12-19,2003-12-22,0.0150,2003-12-23
2003年,2003-07-22,2003-07-23,0.0200,2003-07-24
2003年,2003-06-30,2003-07-01,0.0100,2003-07-02
2003年,2003-05-20,2003-05-21,0.0400,2003-05-22
