年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-17,2020-12-17,0.0070,2020-12-18
2020年,2020-09-17,2020-09-17,0.0130,2020-09-18
2020年,2020-06-15,2020-06-15,0.0120,2020-06-16
2020年,2020-03-05,2020-03-05,0.0080,2020-03-06
2019年,2019-12-19,2019-12-19,0.0115,2019-12-20
2019年,2019-09-23,2019-09-23,0.0150,2019-09-24
2019年,2019-06-20,2019-06-20,0.0120,2019-06-21
2019年,2019-03-18,2019-03-18,0.0160,2019-03-19
2018年,2018-12-20,2018-12-20,0.0160,2018-12-21
2018年,2018-09-17,2018-09-17,0.0100,2018-09-18
2018年,2018-06-19,2018-06-19,0.0130,2018-06-20
2018年,2018-03-26,2018-03-26,0.0120,2018-03-27
2017年,2017-12-26,2017-12-26,0.0084,2017-12-27
2017年,2017-09-07,2017-09-07,0.0120,2017-09-08
