年份,权益登记日,除息日,每份分红,分红发放日
2015年,2015-06-26,2015-06-26,0.0300,2015-06-30
2015年,2015-06-17,2015-06-17,0.0300,2015-06-19
2015年,2015-06-05,2015-06-05,0.0350,2015-06-09
2015年,2015-05-29,2015-05-29,0.0200,2015-06-02
2015年,2015-04-27,2015-04-27,0.0300,2015-04-29
2015年,2015-04-08,2015-04-08,0.0500,2015-04-10
2015年,2015-04-02,2015-04-02,0.0160,2015-04-07
2015年,2015-03-06,2015-03-06,0.0300,2015-03-10
2015年,2015-01-27,2015-01-27,0.0300,2015-01-29
2015年,2015-01-13,2015-01-13,0.0300,2015-01-15
2014年,2014-12-19,2014-12-19,0.0300,2014-12-23
2014年,2014-12-10,2014-12-10,0.0300,2014-12-12
2014年,2014-10-21,2014-10-21,0.0250,2014-10-23
2014年,2014-07-09,2014-07-09,0.0270,2014-07-11
2013年,2013-10-15,2013-10-15,0.0300,2013-10-17
