年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-06,2020-11-06,0.0100,2020-11-10
2020年,2020-07-13,2020-07-13,0.0020,2020-07-15
2020年,2020-04-14,2020-04-14,0.0100,2020-04-16
2020年,2020-01-16,2020-01-16,0.0080,2020-01-20
2019年,2019-10-22,2019-10-22,0.0100,2019-10-24
2019年,2019-07-08,2019-07-08,0.0100,2019-07-10
2019年,2019-04-11,2019-04-11,0.0100,2019-04-15
2019年,2019-01-14,2019-01-14,0.0120,2019-01-16
2018年,2018-09-25,2018-09-25,0.0120,2018-09-27
2018年,2018-06-29,2018-06-29,0.0110,2018-07-03
2018年,2018-03-30,2018-03-30,0.0120,2018-04-03
