年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-07-17,2020-07-17,0.0074,2020-07-20
2020年,2020-04-14,2020-04-14,0.0091,2020-04-15
2020年,2020-01-15,2020-01-15,0.0159,2020-01-16
2019年,2019-10-17,2019-10-17,0.0090,2019-10-18
2019年,2019-07-16,2019-07-16,0.0053,2019-07-17
2019年,2019-04-19,2019-04-19,0.0079,2019-04-22
2019年,2019-01-16,2019-01-16,0.0354,2019-01-17
2018年,2018-10-24,2018-10-24,0.0200,2018-10-25
2018年,2018-07-11,2018-07-11,0.0190,2018-07-12
2018年,2018-04-19,2018-04-19,0.0076,2018-04-20
2018年,2018-01-17,2018-01-17,0.0140,2018-01-18
2017年,2017-10-25,2017-10-25,0.0110,2017-10-26
2016年,2016-10-21,2016-10-21,0.0070,2016-10-24
2016年,2016-07-19,2016-07-19,0.0090,2016-07-20
2016年,2016-04-19,2016-04-19,0.0060,2016-04-20
2016年,2016-01-19,2016-01-19,0.0280,2016-01-20
2015年,2015-10-21,2015-10-21,0.0160,2015-10-22
2015年,2015-07-16,2015-07-16,0.0170,2015-07-17
2015年,2015-04-17,2015-04-17,0.0140,2015-04-20
2015年,2015-01-20,2015-01-20,0.0600,2015-01-21
2014年,2014-10-17,2014-10-17,0.0150,2014-10-20
2014年,2014-07-09,2014-07-09,0.0150,2014-07-10
2014年,2014-04-21,2014-04-21,0.0150,2014-04-22
