年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-02-09,2021-02-09,0.0550,2021-02-10
2021年,2021-01-12,2021-01-12,0.0550,2021-01-13
2020年,2020-10-16,2020-10-16,0.0400,2020-10-19
2020年,2020-07-10,2020-07-10,0.0300,2020-07-13
2020年,2020-01-13,2020-01-13,0.0150,2020-01-14
2018年,2018-01-12,2018-01-12,0.0500,2018-01-15
2017年,2017-10-18,2017-10-18,0.0100,2017-10-19
2017年,2017-07-13,2017-07-13,0.0100,2017-07-14
2016年,2016-07-13,2016-07-13,0.0100,2016-07-14
2016年,2016-03-23,2016-03-23,0.4200,2016-03-24
2016年,2016-01-18,2016-01-18,0.0500,2016-01-19
2015年,2015-07-10,2015-07-10,0.0300,2015-07-13
2015年,2015-04-13,2015-04-13,0.0200,2015-04-14
2015年,2015-03-18,2015-03-18,0.0350,2015-03-19
2015年,2015-01-14,2015-01-14,0.0200,2015-01-15
2010年,2010-12-23,2010-12-23,0.0200,2010-12-24
2008年,2008-03-28,2008-03-28,0.0200,2008-03-31
2007年,2007-12-14,2007-12-14,0.0200,2007-12-17
2007年,2007-09-28,2007-09-28,1.3000,2007-10-09
2007年,2007-09-11,2007-09-11,0.0500,2007-09-12
2007年,2007-04-25,2007-04-25,0.1000,2007-04-26
2007年,2007-03-26,2007-03-26,0.0200,2007-03-27
2006年,2006-11-24,2006-11-24,0.0250,2006-11-27
