年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-29,2021-01-29,0.1800,2021-02-01
2020年,2020-12-10,2020-12-10,0.1000,2020-12-11
2020年,2020-01-16,2020-01-16,0.0800,2020-01-17
2019年,2019-12-10,2019-12-10,0.0600,2019-12-11
2018年,2018-02-06,2018-02-06,0.0100,2018-02-07
2018年,2018-01-16,2018-01-16,0.1170,2018-01-17
2016年,2016-01-14,2016-01-14,0.1040,2016-01-15
2015年,2015-01-16,2015-01-16,0.0800,2015-01-19
2014年,2014-01-20,2014-01-20,0.0600,2014-01-21
2013年,2013-01-14,2013-01-14,0.0400,2013-01-15
2011年,2011-04-22,2011-04-22,0.0900,2011-04-25
2009年,2009-04-28,2009-04-28,0.1500,2009-04-29
