年份,权益登记日,除息日,每份分红,分红发放日
2013年,2013-10-08,2013-10-08,0.0100,2013-10-09
2013年,2013-07-22,2013-07-22,0.0095,2013-07-23
2013年,2013-05-24,2013-05-24,0.0100,2013-05-27
2013年,2013-03-29,2013-03-29,0.0080,2013-04-01
2013年,2013-02-01,2013-02-01,0.0120,2013-02-04
2012年,2012-12-10,2012-12-10,0.0180,2012-12-11
2011年,2011-12-26,2011-12-26,0.0300,2011-12-27
2011年,2011-06-28,2011-06-28,0.0200,2011-06-29
2010年,2010-12-30,2010-12-30,0.0550,2010-12-31
2010年,2010-09-09,2010-09-09,0.0400,2010-09-10
2009年,2009-12-28,2009-12-28,0.0150,2009-12-29
