年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-26,2020-11-26,0.1020,2020-11-30
2019年,2019-06-25,2019-06-25,0.0500,2019-06-27
2018年,2018-06-26,2018-06-26,0.0550,2018-06-28
2017年,2017-12-11,2017-12-11,0.0230,2017-12-13
2016年,2016-12-27,2016-12-27,0.0240,2016-12-29
2016年,2016-01-15,2016-01-15,0.0452,2016-01-19
2007年,2007-09-03,2007-09-03,0.2360,2007-09-05
2007年,2007-08-23,2007-08-23,0.0200,2007-08-27
2007年,2007-07-03,2007-07-03,0.4046,2007-07-05
2007年,2007-01-18,2007-01-18,1.1984,2007-01-22
2006年,2006-08-08,2006-08-08,0.0800,2006-08-10
2006年,2006-03-03,2006-03-03,0.0300,2006-03-07
