年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-13,2021-01-13,0.0711,2021-01-15
2020年,2020-01-14,2020-01-14,0.0587,2020-01-16
2018年,2018-09-26,2018-09-26,0.0745,2018-09-28
2016年,2016-01-19,2016-01-19,0.0480,2016-01-21
2015年,2015-01-16,2015-01-16,0.0300,2015-01-20
2014年,2014-01-14,2014-01-14,0.0125,2014-01-16
2013年,2013-01-18,2013-01-18,0.0510,2013-01-22
2010年,2010-01-20,2010-01-20,0.0800,2010-01-22
2009年,2009-04-01,2009-04-01,0.0350,2009-04-03
2007年,2007-01-29,2007-01-29,1.3300,2007-01-31
2006年,2006-05-15,2006-05-15,0.0500,2006-05-17
2005年,2005-09-20,2005-09-20,0.0100,2005-09-22
