年份,权益登记日,除息日,每份分红,分红发放日
2017年,2017-06-06,2017-06-06,0.1400,2017-06-07
2016年,2016-04-18,2016-04-19,0.0620,2016-04-20
2015年,2015-01-20,2015-01-21,0.0100,2015-01-22
2014年,2014-01-15,2014-01-16,0.0400,2014-01-17
2013年,2013-01-18,2013-01-21,0.0300,2013-01-22
2010年,2010-04-23,2010-04-26,0.0500,2010-04-27
2007年,2007-01-30,2007-01-31,0.0300,2007-02-01
2007年,2007-01-19,2007-01-22,0.0700,2007-01-23
2007年,2007-01-16,2007-01-17,0.6500,2007-01-18
2006年,2006-06-29,2006-06-30,0.0700,2006-07-03
2006年,2006-06-07,2006-06-08,0.0600,2006-06-09
2006年,2006-05-10,2006-05-11,0.0500,2006-05-12
2006年,2006-04-10,2006-04-11,0.0400,2006-04-12
2006年,2006-03-30,2006-03-31,0.0300,2006-04-03
2006年,2006-03-08,2006-03-09,0.0200,2006-03-10
2006年,2006-02-08,2006-02-09,0.0300,2006-02-10
2004年,2004-02-25,2004-02-26,0.0300,2004-02-27
2004年,2004-02-02,2004-02-03,0.0100,2004-02-04
2003年,2003-12-29,2003-12-30,0.0200,2003-12-31
