年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-12-05,2019-12-05,0.1280,2019-12-09
2019年,2019-10-09,2019-10-09,0.0550,2019-10-11
2019年,2019-05-09,2019-05-09,0.0550,2019-05-13
2018年,2018-12-26,2018-12-26,0.1300,2018-12-28
2018年,2018-01-09,2018-01-09,0.0100,2018-01-11
2017年,2017-01-19,2017-01-19,0.0100,2017-01-23
2016年,2016-01-18,2016-01-18,0.0100,2016-01-20
2015年,2015-01-14,2015-01-14,0.0100,2015-01-16
2013年,2013-12-18,2013-12-18,0.0470,2013-12-20
2012年,2012-12-26,2012-12-26,0.0200,2012-12-28
2012年,2012-08-13,2012-08-13,0.0100,2012-08-15
2012年,2012-07-11,2012-07-11,0.0100,2012-07-13
2012年,2012-05-18,2012-05-18,0.0150,2012-05-22
2012年,2012-01-17,2012-01-17,0.0070,2012-01-19
2011年,2011-01-12,2011-01-12,0.0300,2011-01-14
2010年,2010-01-21,2010-01-21,0.0800,2010-01-25
2009年,2009-03-18,2009-03-18,0.1000,2009-03-20
2008年,2008-04-03,2008-04-03,0.0500,2008-04-08
2006年,2006-05-24,2006-05-24,0.0300,2006-05-26
2006年,2006-02-23,2006-02-23,0.0400,2006-02-27
2006年,2006-01-12,2006-01-12,0.0340,2006-01-16
2005年,2005-12-28,2005-12-28,0.0300,2005-12-30
2004年,2004-04-22,2004-04-22,0.0200,2004-04-26
2004年,2004-02-13,2004-02-13,0.0100,2004-02-17
2004年,2004-01-05,2004-01-05,0.0110,2004-01-07
