年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-07,2020-12-07,0.0280,2020-12-09
2019年,2019-12-09,2019-12-09,0.0153,2019-12-11
2018年,2018-04-13,2018-04-13,0.0120,2018-04-17
2017年,2017-12-20,2017-12-20,0.0350,2017-12-22
2016年,2016-06-29,2016-06-29,0.5560,2016-07-01
2016年,2016-01-15,2016-01-15,0.0600,2016-01-19
2015年,2015-01-15,2015-01-15,0.0280,2015-01-19
2011年,2011-01-10,2011-01-10,0.1000,2011-01-12
2007年,2007-08-03,2007-08-03,0.6400,2007-08-07
2007年,2007-02-05,2007-02-05,1.0000,2007-02-07
2006年,2006-02-14,2006-02-14,0.0380,2006-02-16
2004年,2004-02-23,2004-02-24,0.0500,2004-02-25
2003年,2003-12-22,2003-12-23,0.0410,2003-12-24
2003年,2003-06-24,2003-06-25,0.0550,2003-06-26
2003年,2003-02-27,2003-02-28,0.0200,2003-03-03
