净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.37
2020-07-10,-0.32
2020-07-13,1.7
2020-07-14,0.83
2020-07-15,-0.29
2020-07-16,-4.8
2020-07-17,-4.08
2020-07-20,-1.38
2020-07-21,-1.17
2020-07-22,-0.69
2020-07-23,-0.67
2020-07-24,-4.82
2020-07-27,-4.38
2020-07-28,-3.58
2020-07-29,-1.36
2020-07-30,-1.81
2020-07-31,-1.03
2020-08-03,0.48
2020-08-04,0.57
2020-08-05,0.51
2020-08-06,0.22
2020-08-07,-0.85
2020-08-10,-0.52
2020-08-11,-1.37
2020-08-12,-2.04
2020-08-13,-2.28
2020-08-14,-0.86
2020-08-17,1.33
2020-08-18,1.29
2020-08-19,-0.19
2020-08-20,-1.46
2020-08-21,-0.65
2020-08-24,0.18
2020-08-25,0.3
2020-08-26,-0.82
2020-08-27,-0.32
2020-08-28,1.91
2020-08-31,1.35
2020-09-01,1.89
2020-09-02,1.91
2020-09-03,1.38
2020-09-04,0.43
2020-09-07,-1.58
2020-09-08,-1.1
2020-09-09,-3.27
2020-09-10,-3.31
2020-09-11,-2.41
2020-09-14,-1.93
2020-09-15,-1.19
2020-09-16,-1.74
2020-09-17,-2.2
2020-09-18,-0.13
2020-09-21,-1.04
2020-09-22,-2.15
2020-09-23,-1.82
2020-09-24,-3.59
2020-09-25,-3.46
2020-09-28,-3.2
2020-09-29,-3.01
2020-09-30,-3.1
2020-10-09,-1.24
2020-10-12,1.59
2020-10-13,1.92
2020-10-14,1.31
2020-10-15,1.29
2020-10-16,1.11
2020-10-19,0.36
2020-10-20,1.14
2020-10-21,1.13
2020-10-22,0.83
2020-10-23,-0.34
2020-10-26,-0.89
2020-10-27,-0.74
2020-10-28,0.02
2020-10-29,0.74
2020-10-30,-0.8
2020-11-02,-0.27
2020-11-03,0.87
2020-11-04,1.59
2020-11-05,3.04
2020-11-06,3.06
2020-11-09,4.96
2020-11-10,4.4
2020-11-11,3.42
2020-11-12,3.53
2020-11-13,2.5
2020-11-16,3.43
2020-11-17,3.25
2020-11-18,3.19
2020-11-19,3.91
2020-11-20,4.21
2020-11-23,5.43
2020-11-24,4.83
2020-11-25,3.56
2020-11-26,3.73
2020-11-27,4.92
2020-11-30,4.5
2020-12-01,6.55
2020-12-02,6.53
2020-12-03,6.34
2020-12-04,6.52
2020-12-07,5.68
2020-12-08,5.44
2020-12-09,4.12
2020-12-10,4.08
2020-12-11,3.03
2020-12-14,3.86
2020-12-15,4.07
2020-12-16,4.25
2020-12-17,5.51
2020-12-18,5.16
2020-12-21,6.09
2020-12-22,4.47
2020-12-23,5.32
2020-12-24,5.17
2020-12-25,6.0
2020-12-28,6.44
2020-12-29,6.0
2020-12-30,7.42
2020-12-31,9.36
2021-01-04,10.46
2021-01-05,12.46
2021-01-06,13.44
2021-01-07,15.34
2021-01-08,14.98
