净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.38
2020-07-10,-0.14
2020-07-13,1.89
2020-07-14,1.09
2020-07-15,0.17
2020-07-16,-2.89
2020-07-17,-2.2
2020-07-20,0.65
2020-07-21,0.86
2020-07-22,1.48
2020-07-23,1.49
2020-07-24,-2.73
2020-07-27,-2.34
2020-07-28,-1.52
2020-07-29,0.79
2020-07-30,0.36
2020-07-31,1.23
2020-08-03,2.81
2020-08-04,2.86
2020-08-05,2.9
2020-08-06,2.6
2020-08-07,1.5
2020-08-10,1.91
2020-08-11,1.06
2020-08-12,0.43
2020-08-13,0.24
2020-08-14,1.64
2020-08-17,3.87
2020-08-18,4.01
2020-08-19,2.53
2020-08-20,1.28
2020-08-21,2.12
2020-08-24,3.07
2020-08-25,3.32
2020-08-26,2.12
2020-08-27,2.64
2020-08-28,5.0
2020-08-31,4.43
2020-09-01,4.98
2020-09-02,5.03
2020-09-03,4.47
2020-09-04,3.53
2020-09-07,1.42
2020-09-08,1.92
2020-09-09,-0.34
2020-09-10,-0.33
2020-09-11,0.62
2020-09-14,1.09
2020-09-15,1.87
2020-09-16,1.31
2020-09-17,0.86
2020-09-18,3.0
2020-09-21,2.09
2020-09-22,0.96
2020-09-23,1.32
2020-09-24,-0.52
2020-09-25,-0.39
2020-09-28,-0.08
2020-09-29,0.14
2020-09-30,0.06
2020-10-09,1.97
2020-10-12,4.9
2020-10-13,5.23
2020-10-14,4.56
2020-10-15,4.47
2020-10-16,4.32
2020-10-19,3.57
2020-10-20,4.35
2020-10-21,4.32
2020-10-22,4.0
2020-10-23,2.77
2020-10-26,2.21
2020-10-27,2.41
2020-10-28,3.18
2020-10-29,3.96
2020-10-30,2.35
2020-11-02,2.88
2020-11-03,4.06
2020-11-04,4.79
2020-11-05,6.25
2020-11-06,6.24
2020-11-09,8.23
2020-11-10,7.67
2020-11-11,6.65
2020-11-12,6.76
2020-11-13,5.68
2020-11-16,6.64
2020-11-17,6.43
2020-11-18,6.37
2020-11-19,7.14
2020-11-20,7.46
2020-11-23,8.71
2020-11-24,8.11
2020-11-25,6.79
2020-11-26,6.97
2020-11-27,8.24
2020-11-30,7.82
2020-12-01,10.01
2020-12-02,10.04
2020-12-03,9.85
2020-12-04,10.06
2020-12-07,9.2
2020-12-08,8.94
2020-12-09,7.58
2020-12-10,7.65
2020-12-11,6.67
2020-12-14,7.61
2020-12-15,7.82
2020-12-16,8.08
2020-12-17,9.4
2020-12-18,9.03
2020-12-21,9.99
2020-12-22,8.32
2020-12-23,9.21
2020-12-24,9.09
2020-12-25,9.97
2020-12-28,10.44
2020-12-29,10.0
2020-12-30,11.54
2020-12-31,13.58
2021-01-04,14.74
2021-01-05,16.84
2021-01-06,17.88
2021-01-07,19.87
2021-01-08,19.48
