净值日期,累计收益率
2020-07-08,0.0
2020-07-09,0.56
2020-07-10,-2.91
2020-07-13,-1.76
2020-07-14,-2.29
2020-07-15,-3.95
2020-07-16,-8.66
2020-07-17,-10.39
2020-07-20,-5.35
2020-07-21,-6.9
2020-07-22,-6.71
2020-07-23,-7.0
2020-07-24,-11.66
2020-07-27,-11.76
2020-07-28,-11.82
2020-07-29,-9.01
2020-07-30,-10.28
2020-07-31,-9.41
2020-08-03,-7.79
2020-08-04,-7.0
2020-08-05,-7.93
2020-08-06,-5.9
2020-08-07,-8.24
2020-08-10,-7.12
2020-08-11,-9.27
2020-08-12,-9.44
2020-08-13,-9.42
2020-08-14,-7.53
2020-08-17,-3.32
2020-08-18,-3.91
2020-08-19,-6.12
2020-08-20,-7.41
2020-08-21,-6.23
2020-08-24,-6.71
2020-08-25,-6.62
2020-08-26,-8.67
2020-08-27,-8.27
2020-08-28,-5.83
2020-08-31,-6.91
2020-09-01,-6.52
2020-09-02,-6.76
2020-09-03,-7.54
2020-09-04,-8.48
2020-09-07,-10.35
2020-09-08,-8.2
2020-09-09,-9.9
2020-09-10,-10.74
2020-09-11,-10.34
2020-09-14,-9.86
2020-09-15,-9.23
2020-09-16,-9.79
2020-09-17,-10.13
2020-09-18,-5.4
2020-09-21,-6.5
2020-09-22,-7.48
2020-09-23,-8.11
2020-09-24,-9.33
2020-09-25,-8.24
2020-09-28,-8.08
2020-09-29,-8.36
2020-09-30,-9.25
2020-10-09,-7.69
2020-10-12,-4.23
2020-10-13,-4.71
2020-10-14,-5.5
2020-10-15,-5.47
2020-10-16,-4.86
2020-10-19,-5.46
2020-10-20,-5.59
2020-10-21,-5.28
2020-10-22,-5.18
2020-10-23,-5.66
2020-10-26,-8.13
2020-10-27,-8.51
2020-10-28,-8.75
2020-10-29,-8.71
2020-10-30,-10.86
2020-11-02,-11.73
2020-11-03,-9.51
2020-11-04,-10.0
2020-11-05,-8.57
2020-11-06,-8.37
2020-11-09,-5.42
2020-11-10,-6.17
2020-11-11,-7.33
2020-11-12,-8.19
2020-11-13,-9.74
2020-11-16,-8.1
2020-11-17,-7.68
2020-11-18,-6.81
2020-11-19,-6.55
2020-11-20,-7.03
2020-11-23,-5.35
2020-11-24,-6.4
2020-11-25,-6.21
2020-11-26,-5.14
2020-11-27,-3.45
2020-11-30,-3.18
2020-12-01,0.17
2020-12-02,-0.24
2020-12-03,-0.54
2020-12-04,-1.44
2020-12-07,-3.13
2020-12-08,-3.88
2020-12-09,-5.61
2020-12-10,-5.89
2020-12-11,-7.26
2020-12-14,-6.69
2020-12-15,-7.24
2020-12-16,-7.36
2020-12-17,-5.09
2020-12-18,-6.25
2020-12-21,-6.04
2020-12-22,-9.63
2020-12-23,-8.96
2020-12-24,-9.68
2020-12-25,-9.65
2020-12-28,-9.28
2020-12-29,-8.73
2020-12-30,-7.64
2020-12-31,-4.62
2021-01-04,-4.85
2021-01-05,-5.28
2021-01-06,-4.46
2021-01-07,-3.42
2021-01-08,-3.94
