净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.31
2020-07-10,-0.38
2020-07-13,1.92
2020-07-14,1.42
2020-07-15,0.23
2020-07-16,-3.92
2020-07-17,-2.88
2020-07-20,0.15
2020-07-21,0.35
2020-07-22,0.73
2020-07-23,0.65
2020-07-24,-3.92
2020-07-27,-3.46
2020-07-28,-2.42
2020-07-29,-0.15
2020-07-30,-0.69
2020-07-31,0.08
2020-08-03,1.34
2020-08-04,1.73
2020-08-05,1.69
2020-08-06,1.34
2020-08-07,0.15
2020-08-10,1.04
2020-08-11,0.08
2020-08-12,-0.81
2020-08-13,-1.08
2020-08-14,0.61
2020-08-17,2.88
2020-08-18,2.92
2020-08-19,1.42
2020-08-20,0.42
2020-08-21,1.34
2020-08-24,2.34
2020-08-25,2.57
2020-08-26,1.19
2020-08-27,1.42
2020-08-28,3.8
2020-08-31,3.15
2020-09-01,3.57
2020-09-02,3.42
2020-09-03,2.65
2020-09-04,1.42
2020-09-07,-0.88
2020-09-08,-0.23
2020-09-09,-2.38
2020-09-10,-2.42
2020-09-11,-1.61
2020-09-14,-1.23
2020-09-15,-0.58
2020-09-16,-1.31
2020-09-17,-1.61
2020-09-18,0.54
2020-09-21,-0.23
2020-09-22,-0.96
2020-09-23,-0.69
2020-09-24,-2.3
2020-09-25,-2.15
2020-09-28,-2.27
2020-09-29,-1.77
2020-09-30,-1.84
2020-10-09,0.04
2020-10-12,2.53
2020-10-13,2.61
2020-10-14,2.11
2020-10-15,1.8
2020-10-16,1.73
2020-10-19,0.77
2020-10-20,1.34
2020-10-21,1.08
2020-10-22,0.46
2020-10-23,-0.81
2020-10-26,-1.31
2020-10-27,-1.31
2020-10-28,-0.96
2020-10-29,-0.46
2020-10-30,-2.34
2020-11-02,-1.73
2020-11-03,-0.73
2020-11-04,-0.19
2020-11-05,1.08
2020-11-06,1.11
2020-11-09,2.57
2020-11-10,2.04
2020-11-11,1.38
2020-11-12,1.57
2020-11-13,0.38
2020-11-16,1.04
2020-11-17,0.69
2020-11-18,0.81
2020-11-19,1.42
2020-11-20,1.92
2020-11-23,3.57
2020-11-24,2.92
2020-11-25,1.34
2020-11-26,1.5
2020-11-27,2.46
2020-11-30,1.8
2020-12-01,4.26
2020-12-02,4.42
2020-12-03,4.15
2020-12-04,4.38
2020-12-07,3.49
2020-12-08,3.11
2020-12-09,2.07
2020-12-10,2.11
2020-12-11,1.04
2020-12-14,1.65
2020-12-15,2.0
2020-12-16,2.15
2020-12-17,3.73
2020-12-18,3.53
2020-12-21,4.26
2020-12-22,2.38
2020-12-23,3.19
2020-12-24,2.92
2020-12-25,3.96
2020-12-28,4.61
2020-12-29,3.8
2020-12-30,5.57
2020-12-31,7.41
2021-01-04,8.22
2021-01-05,9.37
2021-01-06,10.64
2021-01-07,12.94
2021-01-08,12.67
