净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.43
2020-07-10,-0.24
2020-07-13,1.92
2020-07-14,1.0
2020-07-15,-0.13
2020-07-16,-4.45
2020-07-17,-3.81
2020-07-20,-0.97
2020-07-21,-0.74
2020-07-22,-0.17
2020-07-23,-0.15
2020-07-24,-4.54
2020-07-27,-4.05
2020-07-28,-3.21
2020-07-29,-0.83
2020-07-30,-1.32
2020-07-31,-0.47
2020-08-03,1.13
2020-08-04,1.22
2020-08-05,1.26
2020-08-06,0.96
2020-08-07,-0.18
2020-08-10,0.19
2020-08-11,-0.72
2020-08-12,-1.4
2020-08-13,-1.62
2020-08-14,-0.11
2020-08-17,2.24
2020-08-18,2.22
2020-08-19,0.69
2020-08-20,-0.6
2020-08-21,0.26
2020-08-24,1.09
2020-08-25,1.21
2020-08-26,0.03
2020-08-27,0.56
2020-08-28,2.98
2020-08-31,2.38
2020-09-01,2.94
2020-09-02,2.98
2020-09-03,2.4
2020-09-04,1.42
2020-09-07,-0.73
2020-09-08,-0.18
2020-09-09,-2.51
2020-09-10,-2.56
2020-09-11,-1.6
2020-09-14,-1.1
2020-09-15,-0.31
2020-09-16,-0.91
2020-09-17,-1.41
2020-09-18,0.81
2020-09-21,-0.17
2020-09-22,-1.33
2020-09-23,-0.98
2020-09-24,-2.88
2020-09-25,-2.73
2020-09-28,-2.45
2020-09-29,-2.25
2020-09-30,-2.35
2020-10-09,-0.36
2020-10-12,2.65
2020-10-13,2.99
2020-10-14,2.31
2020-10-15,2.17
2020-10-16,2.02
2020-10-19,1.25
2020-10-20,2.06
2020-10-21,2.04
2020-10-22,1.74
2020-10-23,0.48
2020-10-26,-0.1
2020-10-27,0.07
2020-10-28,0.88
2020-10-29,1.65
2020-10-30,0.0
2020-11-02,0.55
2020-11-03,1.76
2020-11-04,2.52
2020-11-05,4.06
2020-11-06,4.07
2020-11-09,6.1
2020-11-10,5.52
2020-11-11,4.47
2020-11-12,4.58
2020-11-13,3.48
2020-11-16,4.49
2020-11-17,4.28
2020-11-18,4.22
2020-11-19,4.99
2020-11-20,5.31
2020-11-23,6.63
2020-11-24,5.98
2020-11-25,4.64
2020-11-26,4.82
2020-11-27,6.15
2020-11-30,5.72
2020-12-01,7.98
2020-12-02,7.99
2020-12-03,7.77
2020-12-04,7.96
2020-12-07,7.03
2020-12-08,6.77
2020-12-09,5.34
2020-12-10,5.29
2020-12-11,4.17
2020-12-14,5.12
2020-12-15,5.34
2020-12-16,5.52
2020-12-17,6.88
2020-12-18,6.5
2020-12-21,7.5
2020-12-22,5.75
2020-12-23,6.65
2020-12-24,6.5
2020-12-25,7.4
2020-12-28,7.88
2020-12-29,7.42
2020-12-30,8.94
2020-12-31,11.02
2021-01-04,12.21
2021-01-05,14.35
2021-01-06,15.38
2021-01-07,17.41
2021-01-08,17.02
