净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.44
2020-07-10,0.1
2020-07-13,2.09
2020-07-14,1.35
2020-07-15,0.78
2020-07-16,-2.67
2020-07-17,-2.19
2020-07-20,0.56
2020-07-21,0.9
2020-07-22,1.5
2020-07-23,1.43
2020-07-24,-2.49
2020-07-27,-2.14
2020-07-28,-0.68
2020-07-29,1.75
2020-07-30,1.18
2020-07-31,2.07
2020-08-03,3.38
2020-08-04,3.3
2020-08-05,3.53
2020-08-06,3.36
2020-08-07,2.36
2020-08-10,3.04
2020-08-11,2.58
2020-08-12,1.54
2020-08-13,1.53
2020-08-14,3.11
2020-08-17,5.12
2020-08-18,5.33
2020-08-19,4.29
2020-08-20,3.09
2020-08-21,3.91
2020-08-24,5.18
2020-08-25,5.8
2020-08-26,4.35
2020-08-27,4.93
2020-08-28,7.55
2020-08-31,6.87
2020-09-01,7.59
2020-09-02,7.95
2020-09-03,7.31
2020-09-04,5.99
2020-09-07,3.92
2020-09-08,4.34
2020-09-09,2.25
2020-09-10,2.81
2020-09-11,4.0
2020-09-14,4.57
2020-09-15,5.41
2020-09-16,4.89
2020-09-17,4.3
2020-09-18,6.42
2020-09-21,5.44
2020-09-22,4.38
2020-09-23,4.79
2020-09-24,3.02
2020-09-25,3.26
2020-09-28,3.73
2020-09-29,4.06
2020-09-30,4.01
2020-10-09,5.89
2020-10-12,9.13
2020-10-13,9.71
2020-10-14,9.04
2020-10-15,8.87
2020-10-16,8.68
2020-10-19,7.57
2020-10-20,8.77
2020-10-21,8.73
2020-10-22,8.44
2020-10-23,6.67
2020-10-26,5.93
2020-10-27,6.3
2020-10-28,7.42
2020-10-29,8.65
2020-10-30,7.02
2020-11-02,7.18
2020-11-03,7.96
2020-11-04,9.11
2020-11-05,10.47
2020-11-06,10.48
2020-11-09,12.22
2020-11-10,11.73
2020-11-11,10.62
2020-11-12,10.73
2020-11-13,9.5
2020-11-16,10.36
2020-11-17,10.12
2020-11-18,9.71
2020-11-19,10.51
2020-11-20,10.88
2020-11-23,12.18
2020-11-24,11.57
2020-11-25,9.93
2020-11-26,10.09
2020-11-27,11.06
2020-11-30,10.12
2020-12-01,12.32
2020-12-02,12.51
2020-12-03,12.69
2020-12-04,13.34
2020-12-07,12.91
2020-12-08,12.82
2020-12-09,11.75
2020-12-10,12.21
2020-12-11,10.9
2020-12-14,11.95
2020-12-15,12.33
2020-12-16,12.73
2020-12-17,14.26
2020-12-18,14.0
2020-12-21,14.8
2020-12-22,13.45
2020-12-23,14.17
2020-12-24,13.99
2020-12-25,15.22
2020-12-28,15.55
2020-12-29,14.82
2020-12-30,16.34
2020-12-31,18.82
2021-01-04,19.85
2021-01-05,21.76
2021-01-06,23.03
2021-01-07,25.38
2021-01-08,24.63
