净值日期,累计收益率
2020-07-08,0.0
2020-07-09,2.13
2020-07-10,0.75
2020-07-13,2.99
2020-07-14,2.29
2020-07-15,0.85
2020-07-16,-2.08
2020-07-17,-1.87
2020-07-20,1.49
2020-07-21,1.76
2020-07-22,2.83
2020-07-23,2.83
2020-07-24,-1.33
2020-07-27,-0.85
2020-07-28,-0.21
2020-07-29,2.45
2020-07-30,2.13
2020-07-31,3.26
2020-08-03,5.55
2020-08-04,5.28
2020-08-05,5.76
2020-08-06,6.03
2020-08-07,5.07
2020-08-10,5.66
2020-08-11,4.38
2020-08-12,3.68
2020-08-13,3.63
2020-08-14,4.91
2020-08-17,7.68
2020-08-18,7.95
2020-08-19,6.83
2020-08-20,5.44
2020-08-21,6.19
2020-08-24,6.62
2020-08-25,6.24
2020-08-26,4.8
2020-08-27,5.39
2020-08-28,7.47
2020-08-31,7.31
2020-09-01,7.84
2020-09-02,7.74
2020-09-03,7.31
2020-09-04,6.51
2020-09-07,4.32
2020-09-08,4.86
2020-09-09,2.56
2020-09-10,1.92
2020-09-11,2.77
2020-09-14,3.15
2020-09-15,3.9
2020-09-16,3.63
2020-09-17,3.52
2020-09-18,5.6
2020-09-21,4.96
2020-09-22,3.63
2020-09-23,4.0
2020-09-24,2.08
2020-09-25,2.13
2020-09-28,2.03
2020-09-29,2.4
2020-09-30,2.19
2020-10-09,4.43
2020-10-12,7.15
2020-10-13,7.52
2020-10-14,6.72
2020-10-15,6.46
2020-10-16,6.35
2020-10-19,5.71
2020-10-20,6.4
2020-10-21,6.14
2020-10-22,5.71
2020-10-23,4.43
2020-10-26,3.9
2020-10-27,4.22
2020-10-28,4.8
2020-10-29,5.28
2020-10-30,3.58
2020-11-02,3.79
2020-11-03,5.23
2020-11-04,5.55
2020-11-05,7.2
2020-11-06,7.1
2020-11-09,9.28
2020-11-10,8.54
2020-11-11,7.36
2020-11-12,7.52
2020-11-13,6.94
2020-11-16,8.0
2020-11-17,7.74
2020-11-18,7.68
2020-11-19,8.16
2020-11-20,8.91
2020-11-23,10.09
2020-11-24,9.71
2020-11-25,8.27
2020-11-26,8.27
2020-11-27,9.34
2020-11-30,9.34
2020-12-01,11.26
2020-12-02,11.15
2020-12-03,10.83
2020-12-04,10.89
2020-12-07,9.93
2020-12-08,9.66
2020-12-09,8.0
2020-12-10,8.0
2020-12-11,7.04
2020-12-14,7.63
2020-12-15,7.84
2020-12-16,7.52
2020-12-17,8.7
2020-12-18,8.43
2020-12-21,9.45
2020-12-22,7.26
2020-12-23,8.06
2020-12-24,7.47
2020-12-25,8.54
2020-12-28,8.48
2020-12-29,8.16
2020-12-30,9.23
2020-12-31,11.26
2021-01-04,12.7
2021-01-05,14.3
2021-01-06,14.62
2021-01-07,15.69
2021-01-08,16.06
