净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.48
2020-07-10,-0.27
2020-07-13,1.57
2020-07-14,0.77
2020-07-15,-0.23
2020-07-16,-2.97
2020-07-17,-1.84
2020-07-20,1.37
2020-07-21,1.36
2020-07-22,1.87
2020-07-23,1.71
2020-07-24,-2.8
2020-07-27,-2.43
2020-07-28,-1.64
2020-07-29,0.87
2020-07-30,0.17
2020-07-31,1.08
2020-08-03,2.39
2020-08-04,2.47
2020-08-05,2.51
2020-08-06,2.65
2020-08-07,1.72
2020-08-10,2.66
2020-08-11,1.8
2020-08-12,1.25
2020-08-13,0.93
2020-08-14,2.71
2020-08-17,5.11
2020-08-18,5.26
2020-08-19,3.99
2020-08-20,2.83
2020-08-21,3.8
2020-08-24,4.83
2020-08-25,5.08
2020-08-26,3.63
2020-08-27,4.2
2020-08-28,6.67
2020-08-31,5.95
2020-09-01,6.76
2020-09-02,6.49
2020-09-03,5.48
2020-09-04,4.41
2020-09-07,1.69
2020-09-08,2.5
2020-09-09,0.48
2020-09-10,0.44
2020-09-11,1.09
2020-09-14,1.55
2020-09-15,2.38
2020-09-16,1.7
2020-09-17,1.35
2020-09-18,3.61
2020-09-21,2.68
2020-09-22,1.72
2020-09-23,1.88
2020-09-24,0.17
2020-09-25,0.31
2020-09-28,0.48
2020-09-29,0.69
2020-09-30,0.54
2020-10-09,2.45
2020-10-12,4.89
2020-10-13,5.34
2020-10-14,4.25
2020-10-15,4.23
2020-10-16,4.26
2020-10-19,3.41
2020-10-20,4.12
2020-10-21,4.08
2020-10-22,3.48
2020-10-23,2.2
2020-10-26,1.29
2020-10-27,1.6
2020-10-28,2.61
2020-10-29,3.43
2020-10-30,1.28
2020-11-02,1.75
2020-11-03,2.76
2020-11-04,3.41
2020-11-05,4.72
2020-11-06,4.83
2020-11-09,6.65
2020-11-10,5.73
2020-11-11,4.97
2020-11-12,5.02
2020-11-13,4.04
2020-11-16,5.0
2020-11-17,5.14
2020-11-18,5.43
2020-11-19,6.11
2020-11-20,6.37
2020-11-23,7.89
2020-11-24,7.14
2020-11-25,6.01
2020-11-26,6.17
2020-11-27,7.56
2020-11-30,7.57
2020-12-01,9.97
2020-12-02,10.02
2020-12-03,9.75
2020-12-04,9.81
2020-12-07,9.26
2020-12-08,9.17
2020-12-09,7.68
2020-12-10,7.65
2020-12-11,6.88
2020-12-14,7.33
2020-12-15,7.55
2020-12-16,7.59
2020-12-17,9.1
2020-12-18,8.7
2020-12-21,9.54
2020-12-22,7.81
2020-12-23,8.33
2020-12-24,7.77
2020-12-25,8.66
2020-12-28,9.12
2020-12-29,8.87
2020-12-30,10.14
2020-12-31,12.26
2021-01-04,13.31
2021-01-05,15.42
2021-01-06,16.46
2021-01-07,18.92
2021-01-08,18.49
