净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.55
2020-07-10,-0.29
2020-07-13,1.81
2020-07-14,1.12
2020-07-15,0.4
2020-07-16,-2.48
2020-07-17,-2.11
2020-07-20,0.9
2020-07-21,1.01
2020-07-22,1.33
2020-07-23,1.05
2020-07-24,-3.05
2020-07-27,-2.84
2020-07-28,-1.73
2020-07-29,0.17
2020-07-30,-0.33
2020-07-31,0.32
2020-08-03,1.31
2020-08-04,1.31
2020-08-05,1.04
2020-08-06,0.71
2020-08-07,-0.27
2020-08-10,0.26
2020-08-11,-0.72
2020-08-12,-1.53
2020-08-13,-1.64
2020-08-14,-0.05
2020-08-17,2.26
2020-08-18,2.29
2020-08-19,0.82
2020-08-20,-0.31
2020-08-21,0.66
2020-08-24,1.7
2020-08-25,2.1
2020-08-26,0.84
2020-08-27,1.21
2020-08-28,3.59
2020-08-31,3.17
2020-09-01,3.82
2020-09-02,3.78
2020-09-03,3.2
2020-09-04,2.26
2020-09-07,-0.01
2020-09-08,0.73
2020-09-09,-1.25
2020-09-10,-1.15
2020-09-11,-0.23
2020-09-14,0.34
2020-09-15,1.2
2020-09-16,0.65
2020-09-17,0.04
2020-09-18,2.2
2020-09-21,1.35
2020-09-22,0.43
2020-09-23,0.82
2020-09-24,-0.98
2020-09-25,-0.69
2020-09-28,-0.21
2020-09-29,-0.02
2020-09-30,-0.13
2020-10-09,1.86
2020-10-12,4.48
2020-10-13,4.74
2020-10-14,4.13
2020-10-15,3.98
2020-10-16,3.93
2020-10-19,3.13
2020-10-20,3.94
2020-10-21,3.89
2020-10-22,3.47
2020-10-23,2.09
2020-10-26,1.69
2020-10-27,1.76
2020-10-28,2.59
2020-10-29,3.28
2020-10-30,1.21
2020-11-02,1.82
2020-11-03,2.88
2020-11-04,3.66
2020-11-05,4.84
2020-11-06,4.66
2020-11-09,6.56
2020-11-10,5.66
2020-11-11,4.98
2020-11-12,4.91
2020-11-13,3.65
2020-11-16,4.6
2020-11-17,4.4
2020-11-18,4.46
2020-11-19,5.26
2020-11-20,5.7
2020-11-23,7.22
2020-11-24,6.43
2020-11-25,4.84
2020-11-26,5.14
2020-11-27,6.58
2020-11-30,6.21
2020-12-01,8.39
2020-12-02,8.42
2020-12-03,8.0
2020-12-04,8.11
2020-12-07,7.4
2020-12-08,7.31
2020-12-09,6.1
2020-12-10,6.17
2020-12-11,5.16
2020-12-14,5.71
2020-12-15,5.91
2020-12-16,6.3
2020-12-17,7.58
2020-12-18,7.21
2020-12-21,8.17
2020-12-22,6.66
2020-12-23,7.72
2020-12-24,7.51
2020-12-25,8.56
2020-12-28,9.26
2020-12-29,8.73
2020-12-30,10.27
2020-12-31,12.2
2021-01-04,13.25
2021-01-05,14.79
2021-01-06,16.21
2021-01-07,18.54
2021-01-08,18.04
