净值日期,累计收益率
2020-07-08,0.0
2020-07-09,3.05
2020-07-10,4.23
2020-07-13,8.01
2020-07-14,8.46
2020-07-15,10.3
2020-07-16,3.67
2020-07-17,4.82
2020-07-20,4.39
2020-07-21,8.23
2020-07-22,9.06
2020-07-23,11.62
2020-07-24,5.7
2020-07-27,7.91
2020-07-28,7.75
2020-07-29,11.85
2020-07-30,12.35
2020-07-31,13.85
2020-08-03,16.25
2020-08-04,15.75
2020-08-05,17.26
2020-08-06,14.14
2020-08-07,12.74
2020-08-10,12.13
2020-08-11,11.1
2020-08-12,7.78
2020-08-13,5.88
2020-08-14,6.72
2020-08-17,8.15
2020-08-18,9.56
2020-08-19,6.19
2020-08-20,5.42
2020-08-21,6.27
2020-08-24,6.7
2020-08-25,7.15
2020-08-26,7.53
2020-08-27,8.26
2020-08-28,11.47
2020-08-31,10.52
2020-09-01,10.16
2020-09-02,10.69
2020-09-03,10.11
2020-09-04,8.48
2020-09-07,5.07
2020-09-08,5.53
2020-09-09,0.86
2020-09-10,1.27
2020-09-11,2.96
2020-09-14,1.65
2020-09-15,2.77
2020-09-16,1.04
2020-09-17,-0.92
2020-09-18,0.51
2020-09-21,-0.06
2020-09-22,-0.08
2020-09-23,2.73
2020-09-24,1.15
2020-09-25,1.39
2020-09-28,0.24
2020-09-29,1.36
2020-09-30,2.05
2020-10-09,5.01
2020-10-12,8.28
2020-10-13,9.08
2020-10-14,8.44
2020-10-15,7.96
2020-10-16,8.23
2020-10-19,5.73
2020-10-20,6.6
2020-10-21,6.53
2020-10-22,4.91
2020-10-23,1.59
2020-10-26,2.25
2020-10-27,4.87
2020-10-28,6.02
2020-10-29,7.89
2020-10-30,6.15
2020-11-02,5.11
2020-11-03,6.1
2020-11-04,6.7
2020-11-05,6.79
2020-11-06,4.02
2020-11-09,5.94
2020-11-10,4.93
2020-11-11,2.51
2020-11-12,3.65
2020-11-13,2.92
2020-11-16,3.89
2020-11-17,1.3
2020-11-18,-0.1
2020-11-19,0.39
2020-11-20,0.72
2020-11-23,0.63
2020-11-24,-0.16
2020-11-25,-2.18
2020-11-26,-2.6
2020-11-27,-1.83
2020-11-30,-1.5
2020-12-01,1.41
2020-12-02,1.03
2020-12-03,3.59
2020-12-04,4.85
2020-12-07,3.2
2020-12-08,3.04
2020-12-09,1.94
2020-12-10,2.76
2020-12-11,2.25
2020-12-14,3.49
2020-12-15,5.97
2020-12-16,6.83
2020-12-17,10.14
2020-12-18,10.14
2020-12-21,11.37
2020-12-22,10.75
2020-12-23,10.53
2020-12-24,11.13
2020-12-25,13.74
2020-12-28,12.17
2020-12-29,10.84
2020-12-30,12.72
2020-12-31,13.69
2021-01-04,13.77
2021-01-05,16.14
2021-01-06,18.12
2021-01-07,19.62
2021-01-08,19.44
