净值日期,累计收益率
2020-07-08,0.0
2020-07-09,0.26
2020-07-10,-2.53
2020-07-13,-1.68
2020-07-14,-2.66
2020-07-15,-3.96
2020-07-16,-4.63
2020-07-17,-4.6
2020-07-20,-1.0
2020-07-21,-1.68
2020-07-22,-1.66
2020-07-23,-2.69
2020-07-24,-5.58
2020-07-27,-5.93
2020-07-28,-5.54
2020-07-29,-4.2
2020-07-30,-4.95
2020-07-31,-4.7
2020-08-03,-3.5
2020-08-04,-2.15
2020-08-05,-2.98
2020-08-06,-2.41
2020-08-07,-3.31
2020-08-10,-2.37
2020-08-11,-2.83
2020-08-12,-2.52
2020-08-13,-2.65
2020-08-14,-1.37
2020-08-17,1.14
2020-08-18,0.38
2020-08-19,-0.52
2020-08-20,-1.45
2020-08-21,-1.09
2020-08-24,-1.31
2020-08-25,-1.56
2020-08-26,-2.63
2020-08-27,-2.57
2020-08-28,-0.99
2020-08-31,-1.68
2020-09-01,-1.53
2020-09-02,-1.81
2020-09-03,-1.85
2020-09-04,-2.11
2020-09-07,-2.85
2020-09-08,-1.48
2020-09-09,-2.61
2020-09-10,-2.71
2020-09-11,-2.76
2020-09-14,-2.31
2020-09-15,-1.75
2020-09-16,-1.39
2020-09-17,-1.38
2020-09-18,0.94
2020-09-21,0.04
2020-09-22,-1.46
2020-09-23,-1.94
2020-09-24,-3.48
2020-09-25,-3.86
2020-09-28,-3.45
2020-09-29,-3.99
2020-09-30,-4.45
2020-10-09,-3.4
2020-10-12,-0.91
2020-10-13,-0.94
2020-10-14,-1.32
2020-10-15,-0.99
2020-10-16,-0.37
2020-10-19,-0.52
2020-10-20,-0.66
2020-10-21,0.16
2020-10-22,-0.06
2020-10-23,0.12
2020-10-26,-0.87
2020-10-27,-1.35
2020-10-28,-1.68
2020-10-29,-1.42
2020-10-30,-2.37
2020-11-02,-2.0
2020-11-03,-0.78
2020-11-04,0.28
2020-11-05,1.53
2020-11-06,1.85
2020-11-09,3.08
2020-11-10,2.98
2020-11-11,3.4
2020-11-12,2.78
2020-11-13,1.36
2020-11-16,2.48
2020-11-17,3.3
2020-11-18,4.4
2020-11-19,4.62
2020-11-20,4.61
2020-11-23,6.12
2020-11-24,5.46
2020-11-25,4.92
2020-11-26,5.56
2020-11-27,7.26
2020-11-30,6.58
2020-12-01,8.63
2020-12-02,8.76
2020-12-03,7.94
2020-12-04,6.99
2020-12-07,5.16
2020-12-08,4.54
2020-12-09,3.78
2020-12-10,3.45
2020-12-11,2.37
2020-12-14,2.94
2020-12-15,2.48
2020-12-16,2.49
2020-12-17,3.52
2020-12-18,3.06
2020-12-21,2.85
2020-12-22,0.65
2020-12-23,1.2
2020-12-24,1.19
2020-12-25,1.61
2020-12-28,1.98
2020-12-29,1.85
2020-12-30,2.33
2020-12-31,3.5
2021-01-04,2.92
2021-01-05,2.8
2021-01-06,4.43
2021-01-07,5.6
2021-01-08,6.52
