,净值日期,复权净值,复权净值临时,日增长率,相对净值
22,2018-02-01,1.034798010606975,0.980533010606975,-0.010952585829911786,0.012291091763998046
23,2018-02-02,1.0350184476191613,0.9819434476191612,0.00021302419402316488,0.0125067342579379
24,2018-02-05,1.02825143493942,0.97703643493942,-0.006538059969179574,0.005886904510161336
25,2018-02-06,1.0092589443109365,0.9567239443109367,-0.01847066775997494,-0.012692498307155492
26,2018-02-07,0.9938879981149058,0.9421579981149059,-0.015229933093657281,-0.027729125500803437
27,2018-02-08,0.9852186900377536,0.9356036900377537,-0.008722620751629079,-0.03620987560691468
28,2018-02-09,0.9620217126642181,0.911291712664218,-0.02354500336635578,-0.058902317330210334
29,2018-02-12,0.9746326325262128,0.9232276325262128,0.013108768436286201,-0.046565685732166504
30,2018-02-13,0.982666230451498,0.9308312304514981,0.00824269335663679,-0.038706819043961484
31,2018-02-14,0.9912627283966041,0.9383527283966041,0.008748136120599482,-0.030297295445153985
32,2018-02-22,1.0046577482423675,0.9510327482423676,0.013513087360230158,-0.017193618085052896
33,2018-02-23,1.0093234120357881,0.9547334120357882,0.004644033056613654,-0.012629432759189017
34,2018-02-26,1.020919276560258,0.9657392765602579,0.011488750172832265,-0.0012857789841516586
35,2018-02-27,1.0101424406541302,0.9558224406541301,-0.010556011776403838,-0.011828218062456939
36,2018-02-28,1.004878314557477,0.9507783145574769,-0.0052112710889015085,-0.016977849100536343
37,2018-03-01,1.0085193691418626,0.9551543691418627,0.0036233786037955375,-0.013415987671910158
38,2018-03-02,1.0065506002567055,0.9527456002567055,-0.0019521379017561863,-0.015341935715642515
39,2018-03-05,1.00817499752433,0.9537649975243299,0.0016138257403156327,-0.013752869186091053
40,2018-03-06,1.0169090323253458,0.9622990323253459,0.00866321305573251,-0.005208800166245269
41,2018-03-07,1.0127565388203454,0.9581015388203455,-0.004083446378192678,-0.009270976688264362
42,2018-03-08,1.0198539834960962,0.9649639834960961,0.007008046261560425,-0.002327901860225143
43,2018-03-09,1.0286101527450122,0.9725051527450121,0.008585708729498232,0.006237820181950339
44,2018-03-12,1.032832367651751,0.9766173676517511,0.004104776620638183,0.010368201661035137
45,2018-03-13,1.0255513057978654,0.9700763057978653,-0.0070496065788874275,0.003245503339506845
46,2018-03-14,1.0222313024820435,0.9668113024820436,-0.003237286420535451,-2.2897049173936893e-06
47,2018-03-15,1.0250445539722148,0.9697595539722148,0.002752069402825518,0.0027497733964812797
48,2018-03-16,1.0203651175804305,0.9649851175804304,-0.0045651053641042084,-0.0018278849729052766
49,2018-03-19,1.019402028502888,0.9652020285028879,-0.0009438671128098269,-0.002770026805203179
50,2018-03-20,1.0215236636929201,0.9672336636929202,0.0020812546284099892,-0.0006945373079023388
51,2018-03-21,1.0171010209305538,0.9629260209305538,-0.004329456986221964,-0.005020987324724413
52,2018-03-22,1.0080022931957968,0.9553022931957967,-0.008945746339367993,-0.013921817185112241
53,2018-03-23,0.980900720075281,0.9294307200752809,-0.026886420103859415,-0.0404339294635236
54,2018-03-26,0.9872894000425173,0.9340244000425173,0.006513075010023486,-0.034184203669046044
55,2018-03-27,0.9894943538562151,0.9382443538562151,0.0022333409166581043,-0.032027207733145394
56,2018-03-28,0.9777056690229707,0.9270006690229707,-0.011913847499282839,-0.04355948796366768
57,2018-03-29,0.9860412838153069,0.9342212838153069,0.0085256893321136,-0.035405173293398255
58,2018-03-30,0.9860412838153069,0.9342212838153069,0.0,-0.035405173293398255
59,2018-04-02,0.9862627529039131,0.9361577529039131,0.00022460427594803473,-0.0351885211707626
60,2018-04-03,0.9837035170599064,0.9330335170599064,-0.0025948823845079036,-0.03769209348154761
61,2018-04-04,0.9846864234651435,0.9331814234651434,0.000999189682857623,-0.03673056534962205
62,2018-04-09,0.9844887671805421,0.9334987671805421,-0.00020073018160012213,-0.03692392259816927
63,2018-04-10,0.9959802578005945,0.9439552578005945,0.011672546201784144,-0.02568237258886336
64,2018-04-11,0.9977521735610761,0.9461021735610762,0.0017790671517872501,-0.023948996102528916
65,2018-04-12,0.993665469349087,0.9415504693490869,-0.004095911109272104,-0.027946814252608757
