基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
519187,WJWJZLZQC,债券型,万家稳健增利债券C,1.1273,1.6413,1.1276,1.6416,-0.0003,-0.03,开放申购,开放赎回,0.00%,0.13,0.7,0.2,0.4,0.00
519188,WJXYHLZQA,债券型,万家信用恒利债券A,1.2024,1.4461,1.2021,1.4458,0.0003,0.02,开放申购,开放赎回,0.08%,11.07,0.4,0.1,0.0,0.08
519189,WJXYHLZQC,债券型,万家信用恒利债券C,1.1868,1.3985,1.1865,1.3982,0.0003,0.03,开放申购,开放赎回,0.00%,1.19,0.4,0.1,0.4,0.00
519190,WJSLZQ,债券型,万家双利债券,1.3242,1.3916,1.3248,1.3922,-0.0006,-0.05,开放申购,开放赎回,0.08%,0.24,0.7,0.2,0.0,0.08
519199,WJJXZDZA,债券型,万家家享中短债A,1.0577,1.1197,1.0575,1.1195,0.0002,0.02,开放申购,开放赎回,0.02%,2.33,0.3,0.1,0.0,0.02
519208,WJ35NZJZCZA,债券型,万家3-5年政金债纯债A,1.0497,1.1358,1.0486,1.1347,0.0011,0.10,开放申购,开放赎回,0.06%,2.63,0.3,0.1,0.0,0.06
519209,WJ35NZJZCZC,债券型,万家3-5年政金债纯债C,1.0420,1.1188,1.0410,1.1178,0.0010,0.10,开放申购,开放赎回,0.00%,0.01,0.3,0.1,0.2,0.00
519226,HFTRLZQ,债券型,海富通瑞利债券,1.0883,1.1497,1.0881,1.1495,0.0002,0.02,开放申购,开放赎回,0.08%,34.83,0.3,0.1,0.0,0.08
519328,PYASSTCZZQA,债券型,浦银安盛盛泰纯债债券A,1.0491,1.1640,1.0484,1.1633,0.0007,0.07,开放申购,开放赎回,0.80%,6.01,0.3,0.1,0.0,0.80
519329,PYASSTCZZQC,债券型,浦银安盛盛泰纯债债券C,1.0420,1.1483,1.0413,1.1476,0.0007,0.07,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.35,0.00
519330,PYASSYCZZQA,债券型,浦银安盛盛跃纯债债券A,1.1135,1.1917,1.1130,1.1912,0.0005,0.04,开放申购,开放赎回,0.80%,44.22,0.3,0.1,0.0,0.80
519331,PYASSYCZZQC,债券型,浦银安盛盛跃纯债债券C,1.1054,1.1775,1.1049,1.1770,0.0005,0.05,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.35,0.00
519519,HTBRWBZLZQA,债券型,华泰柏瑞稳本增利债券A,1.0601,1.5530,1.0593,1.5522,0.0008,0.08,开放申购,开放赎回,0.08%,0.44,0.3,0.1,0.0,0.08
519632,YHJH3GYDKZ,定开债券,银河君辉3个月定开债,1.0511,1.1369,1.0509,1.1367,0.0002,0.02,开放申购,开放赎回,0.80%,10.35,0.3,0.1,0.0,0.80
519648,YHTLCZI,债券型,银河泰利纯债I,1,1.0264,1,1.0264,0,0.00,开放申购,开放赎回,0.00%,2.16,0.3,0.1,0.05,0.00
519660,YHZLZQA,债券型,银河增利债券A,1.5870,1.8970,1.5940,1.9040,-0.0070,-0.44,开放申购,开放赎回,0.08%,0.88,0.7,0.2,0.0,0.08
519661,YHZLZQC,债券型,银河增利债券C,1.5530,1.8530,1.56,1.86,-0.0070,-0.45,开放申购,开放赎回,0.00%,0.02,0.7,0.2,0.4,0.00
519666,YHYXTLZQB,债券型,银河银信添利债券B,1.0508,1.7942,1.0519,1.7953,-0.0011,-0.10,开放申购,开放赎回,0.00%,0.65,0.65,0.2,0.4,0.00
519667,YHYXTLZQA,债券型,银河银信添利债券A,1.0522,1.8501,1.0533,1.8512,-0.0011,-0.10,开放申购,开放赎回,0.08%,0.87,0.65,0.2,0.0,0.08
