基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
006593,BDZZ500ZQA,股票指数,博道中证500增强A,1.7525,1.8525,1.7579,1.8579,-0.0054,-0.31,开放申购,开放赎回,0.12%,2.31,0.75,0.1,0.0,0.12
006594,BDZZ500ZQC,股票指数,博道中证500增强C,1.7418,1.8418,1.7471,1.8471,-0.0053,-0.30,开放申购,开放赎回,0.00%,1.31,0.75,0.1,0.3,0.00
006611,RBZZ500ZS,股票指数,人保中证500指数,1.5426,1.5426,1.5534,1.5534,-0.0108,-0.70,开放申购,开放赎回,0.06%,0.45,0.45,0.1,0.0,0.06
006656,FZFBZZ500ETFLJA,联接基金,方正富邦中证500ETF联接A,1.2474,1.2474,1.2557,1.2557,-0.0083,-0.66,开放申购,开放赎回,0.12%,0.04,0.5,0.1,0.0,0.12
006657,FZFBZZ500ETFLJC,联接基金,方正富邦中证500ETF联接C,1.2355,1.2355,1.2436,1.2436,-0.0081,-0.65,开放申购,开放赎回,0.00%,0.03,0.5,0.1,0.4,0.00
006682,JSCCZZ500ZQ,股票指数,景顺长城中证500增强,1.3645,1.3645,1.3690,1.3690,-0.0045,-0.33,开放申购,开放赎回,0.15%,2.66,1.2,0.2,0.0,0.15
006729,WJZZ500ZSZQA,股票指数,万家中证500指数增强A,1.5503,1.6194,1.5602,1.6293,-0.0099,-0.63,开放申购,开放赎回,0.10%,0.32,1.0,0.2,0.0,0.10
006730,WJZZ500ZSZQC,股票指数,万家中证500指数增强C,1.5371,1.6043,1.5470,1.6142,-0.0099,-0.64,开放申购,开放赎回,0.00%,0.11,1.0,0.2,0.4,0.00
006783,HTCXZZ500ZQA,股票指数,红土创新中证500增强A,1.4489,1.4489,1.4538,1.4538,-0.0049,-0.34,开放申购,开放赎回,0.12%,0.27,0.8,0.15,0.0,0.12
006784,HTCXZZ500ZQC,股票指数,红土创新中证500增强C,1.4416,1.4416,1.4465,1.4465,-0.0049,-0.34,开放申购,开放赎回,0.00%,0.14,0.8,0.15,0.3,0.00
006938,PHZZ500ZSLOFC,股票指数,鹏华中证500指数(LOF)C,1.7340,1.7340,1.7470,1.7470,-0.0130,-0.74,开放申购,开放赎回,0.00%,0.37,0.75,0.15,0.2,0.00
007028,YFDZZ500ETFLJA,联接基金,易方达中证500ETF联接A,1.3591,1.3591,1.3682,1.3682,-0.0091,-0.67,开放申购,开放赎回,0.05%,4.87,0.15,0.05,0.0,0.05
007029,YFDZZ500ETFLJC,联接基金,易方达中证500ETF联接C,1.3561,1.3561,1.3652,1.3652,-0.0091,-0.67,开放申购,开放赎回,0.00%,2.49,0.15,0.05,0.1,0.00
007089,GTZZ500ZSLHZQC,股票指数,国投中证500指数量化增强C,1.9432,1.9432,1.9478,1.9478,-0.0046,-0.24,开放申购,开放赎回,0.00%,0.28,1.0,0.15,0.4,0.00
007223,GYZZ500ETFLJC,联接基金,工银中证500ETF联接C,1.1620,1.1620,1.1697,1.1697,-0.0077,-0.66,开放申购,开放赎回,0.00%,0.0,0.45,0.07,0.25,0.00
007413,CCZZ500ZSZQC,股票指数,长城中证500指数增强C,1.4333,1.4333,1.4451,1.4451,-0.0118,-0.82,开放申购,开放赎回,0.00%,0.09,1.0,0.15,0.3,0.00
