基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
000055,GFNSDK100MYXHA,QDII-指数,广发纳斯达克100美元现汇A,,,0.5652,0.6051,,,开放申购,开放赎回,1.30%,23.47,0.8,0.25,0.0,1.30
000834,DCNSDK100,QDII-指数,大成纳斯达克100,,,2.8850,2.8850,,,开放申购,开放赎回,0.12%,11.76,0.8,0.25,0.0,0.12
003722,YFDNSDK100MYH,QDII-指数,易方达纳斯达克100美元汇,,,0.3042,0.3042,,,开放申购,开放赎回,1.20%,7.36,0.8,0.25,0.0,1.20
006479,GFNSDK100ZSC,QDII-指数,广发纳斯达克100指数C,,,3.6429,3.6429,,,开放申购,开放赎回,0.00%,4.5,0.8,0.25,0.2,0.00
006480,GFNSDK100MYXHC,QDII-指数,广发纳斯达克100美元现汇C,,,0.5620,0.5620,,,开放申购,开放赎回,0.00%,4.5,0.8,0.25,0.2,0.00
161130,YFDNSDK100RMB,QDII-指数,易方达纳斯达克100人民币,,,1.9719,1.9719,,,开放申购,开放赎回,0.12%,7.36,0.8,0.25,0.0,0.12
270042,GFNSDK100ZSA,QDII-指数,广发纳斯达克100指数A,,,3.6641,3.9341,,,开放申购,开放赎回,0.13%,23.47,0.8,0.25,0.0,0.13
