净值日期,累计净值,单位净值,日增长率,复权净值
2015-04-15,1.0,1.0,0.0,1.0
2015-04-16,1.0,1.0,0.0,1.0
2015-04-17,1.0,1.0,0.0,1.0
2015-04-20,1.0,1.0,0.0,1.0
2015-04-21,1.0,1.0,0.0,1.0
2015-04-22,1.0,1.0,0.0,1.0
2015-04-23,1.0,1.0,0.0,1.0
2015-04-24,1.0,1.0,0.0,1.0
2015-04-27,1.0,1.0,0.0,1.0
2015-04-28,1.0,1.0,0.0,1.0
2015-04-29,1.0,1.0,0.0,1.0
2015-04-30,1.0,1.0,0.0,1.0
2015-05-04,1.002,1.002,0.2,1.002
2015-05-05,0.939,0.939,-6.2874,0.939
2015-05-06,0.923,0.923,-1.7039,0.923
2015-05-07,0.903,0.903,-2.1668,0.903
2015-05-08,0.935,0.935,3.5437,0.935
2015-05-11,0.973,0.973,4.0642,0.973
2015-05-12,0.991,0.991,1.8499,0.991
2015-05-13,1.002,1.002,1.11,1.002
2015-05-14,1.003,1.003,0.0998,1.003
2015-05-15,0.994,0.994,-0.8973,0.994
2015-05-18,1.011,1.011,1.7103,1.011
2015-05-19,1.034,1.034,2.275,1.034
2015-05-20,1.049,1.049,1.4507,1.049
2015-05-21,1.083,1.083,3.2412,1.083
2015-05-22,1.099,1.099,1.4774,1.099
2015-05-25,1.124,1.124,2.2748,1.124
2015-05-26,1.154,1.154,2.669,1.154
2015-05-27,1.166,1.166,1.0399,1.166
2015-05-28,1.108,1.108,-4.9743,1.108
2015-05-29,1.118,1.118,0.9025,1.118
2015-06-01,1.17,1.17,4.6512,1.17
2015-06-02,1.211,1.211,3.5043,1.211
2015-06-03,1.219,1.219,0.6606,1.219
2015-06-04,1.215,1.215,-0.3281,1.215
2015-06-05,1.236,1.236,1.7284,1.236
2015-06-08,1.224,1.224,-0.9709,1.224
2015-06-09,1.222,1.222,-0.1634,1.222
2015-06-10,1.244,1.244,1.8003,1.244
2015-06-11,1.263,1.263,1.5273,1.263
2015-06-12,1.286,1.286,1.8211,1.286
2015-06-15,1.265,1.265,-1.633,1.265
2015-06-16,1.217,1.217,-3.7945,1.217
2015-06-17,1.237,1.237,1.6434,1.237
2015-06-18,1.199,1.199,-3.0719,1.199
2015-06-19,1.117,1.117,-6.839,1.117
2015-06-23,1.123,1.123,0.5372,1.123
2015-06-24,1.148,1.148,2.2262,1.148
2015-06-25,1.108,1.108,-3.4843,1.108
2015-06-26,1.019,1.019,-8.0325,1.019
2015-06-29,0.956,0.956,-6.1825,0.956
2015-06-30,1.001,1.001,4.7071,1.001
2015-07-01,0.946,0.946,-5.4945,0.946
2015-07-02,0.884,0.884,-6.5539,0.884
2015-07-03,0.832,0.832,-5.8824,0.832
2015-07-06,0.817,0.817,-1.8029,0.817
2015-07-07,0.758,0.758,-7.2215,0.758
2015-07-08,0.71,0.71,-6.3325,0.71
2015-07-09,0.707,0.707,-0.4225,0.707
2015-07-10,0.723,0.723,2.2631,0.723
2015-07-13,0.733,0.733,1.3831,0.733
2015-07-14,0.735,0.735,0.2729,0.735
2015-07-15,0.731,0.731,-0.5442,0.731
2015-07-16,0.735,0.735,0.5472,0.735
2015-07-17,0.745,0.745,1.3605,0.745
2015-07-20,0.748,0.748,0.4027,0.748
2015-07-21,0.752,0.752,0.5348,0.752
2015-07-22,0.756,0.756,0.5319,0.756
2015-07-23,0.765,0.765,1.1905,0.765
2015-07-24,0.76,0.76,-0.6536,0.76
2015-07-27,0.741,0.741,-2.5,0.741
2015-07-28,0.738,0.738,-0.4049,0.738
2015-07-29,0.749,0.749,1.4905,0.749
2015-07-30,0.741,0.741,-1.0681,0.741
2015-07-31,0.739,0.739,-0.2699,0.739
2015-08-03,0.733,0.733,-0.8119,0.733
2015-08-04,0.75,0.75,2.3192,0.75
