,净值日期,复权净值,复权净值临时,日增长率,相对净值
93,2018/5/24,1.122590337,1.067490337,-0.000594429,-0.005025372
94,2018/5/25,1.120748737,1.065518737,-0.001640492,-0.00665762
95,2018/5/28,1.120748737,1.065518737,0,-0.00665762
96,2018/5/29,1.11997127,1.06487627,-0.000693703,-0.007346704
97,2018/5/30,1.118007049,1.062372049,-0.001753814,-0.009087633
98,2018/5/31,1.123811327,1.068301327,0.005191629,-0.003943184
99,2018/6/1,1.123341079,1.067006079,-0.00041844,-0.004359974
100,2018/6/4,1.127115688,1.070220688,0.003360163,-0.001014461
101,2018/6/5,1.131657904,1.074632904,0.004029947,0.003011398
102,2018/6/6,1.134519956,1.077274956,0.002529078,0.005548092
103,2018/6/7,1.131706737,1.075006737,-0.002479655,0.003054679
104,2018/6/8,1.129642871,1.072872871,-0.001823676,0.001225433
105,2018/6/11,1.129233138,1.072298138,-0.00036271,0.000862278
106,2018/6/12,1.135857217,1.078572217,0.005865998,0.006733334
107,2018/6/13,1.130630939,1.073345939,-0.004601175,0.002101178
108,2018/6/14,1.129790909,1.072120909,-0.000742975,0.001356641
109,2018/6/15,1.127964392,1.070174392,-0.001616686,-0.000262237
110,2018/6/19,1.109624207,1.052109207,-0.016259543,-0.016517516
111,2018/6/20,1.115710983,1.057465983,0.005485439,-0.011122683
112,2018/6/21,1.109558286,1.051688286,-0.005514597,-0.016575943
113,2018/6/22,1.114123838,1.056318838,0.004114747,-0.012529402
114,2018/6/25,1.106159475,1.049489475,-0.007148544,-0.019588379
115,2018/6/26,1.106815763,1.049670763,0.000593304,-0.019006697
116,2018/6/27,1.099515371,1.042790371,-0.006595851,-0.025477183
117,2018/6/28,1.099959442,1.042419442,0.000403879,-0.025083593
118,2018/6/29,1.11329705,1.05550705,0.012125545,-0.0132622
119,2018/6/30,1.11317205,1.05544705,-0.000112279,-0.01337299
120,2018/7/2,1.106143933,1.047978933,-0.006313595,-0.019602154
121,2018/7/3,1.10677483,1.04896483,0.000570358,-0.019042977
122,2018/7/4,1.10677483,1.04896483,0,-0.019042977
123,2018/7/5,1.098533019,1.040318019,-0.007446692,-0.026347861
124,2018/7/6,1.105772492,1.046592492,0.006590128,-0.019931369
125,2018/7/9,1.11947074,1.05971074,0.012387944,-0.007790334
126,2018/7/10,1.12124062,1.06155062,0.001580997,-0.006221654
127,2018/7/11,1.112958211,1.053593211,-0.007386825,-0.01356252
128,2018/7/12,1.127460534,1.066710534,0.013030429,-0.000708817
129,2018/7/13,1.131231702,1.070406702,0.003344833,0.002633646
130,2018/7/16,1.129047475,1.068342475,-0.00193084,0.000697721
131,2018/7/17,1.129027412,1.067922412,-1.78E-05,0.000679939
132,2018/7/18,1.127072256,1.065997256,-0.001731717,-0.001052955
133,2018/7/19,1.124838601,1.063938601,-0.001981821,-0.00303269
134,2018/7/20,1.133974306,1.072559306,0.008121792,0.005064471
135,2018/7/23,1.137302166,1.075772166,0.002934687,0.008014021
136,2018/7/24,1.146761041,1.084691041,0.008316941,0.016397614
137,2018/7/25,1.150779288,1.087769288,0.003503997,0.019959068
138,2018/7/26,1.142937973,1.081072973,-0.006813917,0.013009152
139,2018/7/27,1.14017159,1.07887659,-0.002420414,0.01055725
