基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
166301,HSXQSYXLHPZHH,混合型,华商新趋势优选灵活配置混合,6.5080,6.5080,6.6380,6.6380,-0.13,-1.96,开放申购,开放赎回,0.15%
166401,PYASWJZLZQC,债券型,浦银安盛稳健增利债券C,1.0630,1.2090,1.0630,1.2090,0,0.00,开放申购,开放赎回,0.00%
166402,PYASHGSJBM100,股票指数,浦银安盛沪港深基本面100,1.0274,1.0274,1.0252,1.0252,0.0022,0.21,开放申购,开放赎回,0.12%
166801,ZSJCXSWHH,混合型,浙商聚潮新思维混合,2.7810,4.0440,2.8090,4.0720,-0.0280,-1.00,开放申购,开放赎回,0.15%
166802,ZSHS300ZSZQ,股票指数,浙商沪深300指数增强,2.2899,2.4449,2.2902,2.4452,-0.0003,-0.01,限大额,开放赎回,0.15%
166803,ZSHMCZA,债券型,浙商惠民纯债A,1.0006,1.0006,1.0002,1.0002,0.0004,0.04,开放申购,开放赎回,0.06%
166902,MSJYPWZLA,定开债券,民生加银平稳增利A,1.0212,1.4927,1.0210,1.4925,0.0002,0.02,暂停申购,暂停赎回,0.08%
166903,MSJYPWZLC,定开债券,民生加银平稳增利C,1.0117,1.4577,1.0115,1.4575,0.0002,0.02,暂停申购,暂停赎回,0.00%
166904,MSJYPWTLZQA,定开债券,民生加银平稳添利债券A,1.0280,1.5220,1.0270,1.5210,0.0010,0.10,暂停申购,暂停赎回,0.08%
166905,MSJYPWTLZQC,定开债券,民生加银平稳添利债券C,1.0170,1.4890,1.0160,1.4880,0.0010,0.10,暂停申购,暂停赎回,0.00%
