基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
000001,HXCZHH,混合型,华夏成长混合,1.3860,3.8970,1.39,3.9010,-0.0040,-0.29,开放申购,开放赎回,0.15%
000003,ZHKZZZQA,债券型,中海可转债债券A,0.9590,1.1690,0.9640,1.1740,-0.0050,-0.52,开放申购,开放赎回,0.08%
000004,ZHKZZZQC,债券型,中海可转债债券C,0.9560,1.1660,0.9610,1.1710,-0.0050,-0.52,开放申购,开放赎回,0.00%
000005,JSZQXYDQZQ,定开债券,嘉实增强信用定期债券,1.0170,1.3880,1.0170,1.3880,0,0.00,暂停申购,暂停赎回,0.08%
000006,XBLDLHCZHHA,混合型,西部利得量化成长混合A,2.0810,2.1690,2.0867,2.1747,-0.0057,-0.27,限大额,开放赎回,0.15%
000008,JSZZ500ETFLJA,联接基金,嘉实中证500ETF联接A,1.76,1.8260,1.7720,1.8380,-0.0120,-0.68,开放申购,开放赎回,0.12%
000011,HXDPJXHH,混合型,华夏大盘精选混合,20.3850,27.1890,20.4410,27.2450,-0.0560,-0.27,开放申购,开放赎回,0.15%
000014,HXJLZQ,债券型,华夏聚利债券,1.7240,1.7240,1.7320,1.7320,-0.0080,-0.46,开放申购,开放赎回,0.06%
000015,HXCZZQA,债券型,华夏纯债债券A,1.2070,1.3770,1.2060,1.3760,0.0010,0.08,开放申购,开放赎回,0.08%
000016,HXCZZQC,债券型,华夏纯债债券C,1.1740,1.3340,1.1730,1.3330,0.0010,0.09,开放申购,开放赎回,0.00%
000017,CTKCXHH,混合型,财通可持续混合,2.2980,3.89,2.3270,3.9190,-0.0290,-1.25,开放申购,开放赎回,0.15%
000020,JSCCPZTZHH,混合型,景顺长城品质投资混合,4.2970,4.4650,4.3270,4.4950,-0.03,-0.69,开放申购,开放赎回,0.15%
000021,HXYSZZHH,混合型,华夏优势增长混合,3.2830,4.4530,3.3630,4.5330,-0.08,-2.38,开放申购,开放赎回,0.15%
000024,DMSLZQZQA,债券型,大摩双利增强债券A,1.1520,1.5540,1.1520,1.5540,0,0.00,开放申购,开放赎回,0.08%
000025,DMSLZQZQC,债券型,大摩双利增强债券C,1.14,1.5270,1.14,1.5270,0,0.00,开放申购,开放赎回,0.00%
000028,HFAXZQ,债券型,华富安鑫债券,1.1679,1.5459,1.1758,1.5538,-0.0079,-0.67,开放申购,开放赎回,0.08%
000029,FGHGCLLHPZHH,混合型,富国宏观策略灵活配置混合,3.3290,3.5240,3.3720,3.5670,-0.0430,-1.28,开放申购,开放赎回,0.15%
000030,CCHXYXHH,混合型,长城核心优选混合,1.7742,3.2846,1.7946,3.3223,-0.0204,-1.14,开放申购,开放赎回,0.15%
000031,HXFXHH,混合型,华夏复兴混合,3.5620,3.5620,3.6290,3.6290,-0.0670,-1.85,开放申购,开放赎回,0.15%
000032,YFDXYZZQA,债券型,易方达信用债债券A,1.1080,1.4230,1.1080,1.4230,0,0.00,开放申购,开放赎回,0.08%
000033,YFDXYZZQC,债券型,易方达信用债债券C,1.1030,1.3850,1.1030,1.3850,0,0.00,开放申购,开放赎回,0.00%
000037,GFJNZQ,债券型,广发景宁债券,1.0159,1.0183,1.0148,1.0172,0.0011,0.11,限大额,开放赎回,0.08%
000039,NYGZZHH,混合型,农银高增长混合,3.4241,3.4241,3.4862,3.4862,-0.0621,-1.78,开放申购,开放赎回,0.15%
000041,HXQQGPQDII,QDII,华夏全球股票(QDII),,,1.5020,1.5020,,,开放申购,开放赎回,0.16%
000042,ZZCTKCXFZ100ZSA,股票指数,中证财通可持续发展100指数A,2.0015,2.4903,1.9979,2.4867,0.0036,0.18,开放申购,开放赎回,0.12%
000043,JSMGCZGPRMB,QDII,嘉实美国成长股票人民币,,,2.7770,2.7770,,,开放申购,开放赎回,0.15%
000044,JSMGCZGPMYXH,QDII,嘉实美国成长股票美元现汇,,,2.6130,2.6130,,,开放申购,开放赎回,1.50%
000045,GYCYZZQA,债券型,工银产业债债券A,1.5320,1.7830,1.5350,1.7860,-0.0030,-0.20,开放申购,开放赎回,0.08%
000046,GYCYZZQB,债券型,工银产业债债券B,1.5030,1.7320,1.5060,1.7350,-0.0030,-0.20,开放申购,开放赎回,0.00%
000047,HXSZZQA,债券型,华夏双债债券A,1.5830,1.8850,1.5950,1.8970,-0.0120,-0.75,开放申购,开放赎回,0.08%
000048,HXSZZQC,债券型,华夏双债债券C,1.5580,1.85,1.57,1.8620,-0.0120,-0.76,开放申购,开放赎回,0.00%
000049,ZYBPQQZYDQZZS,QDII-指数,中银标普全球资源等权重指数,,,1.2850,1.2850,,,限大额,开放赎回,0.15%
000051,HXHS300ETFLJA,联接基金,华夏沪深300ETF联接A,1.8637,1.8637,1.8696,1.8696,-0.0059,-0.32,开放申购,开放赎回,0.12%
000053,PHYCYNDKZQ,定开债券,鹏华永诚一年定开债券,1.0333,1.6104,1.0330,1.6099,0.0003,0.03,暂停申购,暂停赎回,0.08%
000054,PHSZZLZQ,债券型,鹏华双债增利债券,1.3652,1.5922,1.3710,1.5980,-0.0058,-0.42,开放申购,开放赎回,0.08%
000055,GFNSDK100MYXHA,QDII-指数,广发纳斯达克100美元现汇A,,,0.5652,0.6051,,,开放申购,开放赎回,1.30%
000056,JXXFSJHH,混合型,建信消费升级混合,3.4220,3.4220,3.4540,3.4540,-0.0320,-0.93,开放申购,开放赎回,0.15%
000057,ZYXFZTHH,混合型,中银消费主题混合,2.53,2.53,2.5720,2.5720,-0.0420,-1.63,开放申购,开放赎回,0.15%
000058,GLAATLHPZHH,混合型,国联安安泰灵活配置混合,1.4512,1.7002,1.4535,1.7028,-0.0023,-0.16,限大额,开放赎回,0.10%
000059,GLAZZYY100A,股票指数,国联安中证医药100A,1.3931,1.9531,1.4080,1.9680,-0.0149,-1.06,开放申购,开放赎回,0.12%
000061,HXSSHH,混合型,华夏盛世混合,1.0840,1.0840,1.1050,1.1050,-0.0210,-1.90,开放申购,开放赎回,0.15%
000063,CSDZXXZTLHPZHH,混合型,长盛电子信息主题灵活配置混合,2.4050,2.4050,2.4270,2.4270,-0.0220,-0.91,开放申购,开放赎回,0.15%
000064,DM18GYDKZ,定开债券,大摩18个月定开债,,,,,,,暂停申购,暂停赎回,0.00%
000065,GFJDQDHH,混合型,国富焦点驱动混合,1.9080,2.0730,1.9080,2.0730,0,0.00,开放申购,开放赎回,0.15%
000066,NAHXHH,混合型,诺安鸿鑫混合,1.7738,2.5034,1.7536,2.4749,0.0202,1.15,开放申购,开放赎回,0.15%
000067,MSJYZZYXA,债券型,民生加银转债优选A,0.8980,1.2980,0.9050,1.3050,-0.0070,-0.77,限大额,开放赎回,0.08%
000068,MSJYZZYXC,债券型,民生加银转债优选C,0.8790,1.2690,0.8860,1.2760,-0.0070,-0.79,限大额,开放赎回,0.00%
000069,GTRYZGDJZQA,债券型,国投瑞银中高等级债券A,1.1070,1.4960,1.1070,1.4960,0,0.00,开放申购,开放赎回,0.08%
000070,GTRYZGDJZQC,债券型,国投瑞银中高等级债券C,1.1040,1.4690,1.1030,1.4680,0.0010,0.09,开放申购,开放赎回,0.00%
000071,HXHSETFLJA,QDII-指数,华夏恒生ETF联接A,1.4964,1.4964,1.5029,1.5029,-0.0065,-0.43,开放申购,开放赎回,0.12%
000072,HAWJHBHH,混合型,华安稳健回报混合,1.2436,2.1853,1.2447,2.1872,-0.0011,-0.09,开放申购,开放赎回,0.15%
000073,STMGCZDLHH,混合型,上投摩根成长动力混合,2.9054,2.9054,2.9237,2.9237,-0.0183,-0.63,开放申购,开放赎回,0.15%
000074,GYXYCZYNDKZA,定开债券,工银信用纯债一年定开债A,,,,,,,暂停申购,暂停赎回,0.06%
000075,HXHSETFLJXH,QDII-指数,华夏恒生ETF联接现汇,0.2316,0.2316,0.2318,0.2318,-0.0002,-0.09,开放申购,开放赎回,0.00%
000077,GYXYCZYNDKZC,定开债券,工银信用纯债一年定开债C,,,,,,,暂停申购,暂停赎回,0.00%
000078,GYXYCZLNDKZA,定开债券,工银信用纯债两年定开债A,,,,,,,暂停申购,暂停赎回,0.06%
000079,GYXYCZLNDKZC,定开债券,工银信用纯债两年定开债C,,,,,,,暂停申购,暂停赎回,0.00%
000080,TZKZZZQZQA,债券型,天治可转债增强债券A,1.5370,1.5370,1.5380,1.5380,-0.0010,-0.07,开放申购,开放赎回,0.08%
000081,TZKZZZQZQC,债券型,天治可转债增强债券C,1.4940,1.4940,1.4960,1.4960,-0.0020,-0.13,开放申购,开放赎回,0.00%
000082,JSYJAEFGP,股票型,嘉实研究阿尔法股票,2.0430,2.8780,2.0560,2.8910,-0.0130,-0.63,开放申购,开放赎回,0.15%
000083,HTFXFHYHH,混合型,汇添富消费行业混合,8.9160,8.9160,9.0160,9.0160,-0.10,-1.11,开放申购,开放赎回,0.15%
000084,BSAYZQA,债券型,博时安盈债券A,1.2582,1.3204,1.2582,1.3204,0,0.00,限大额,开放赎回,0.03%
000085,BSAYZQC,债券型,博时安盈债券C,1.2284,1.2832,1.2284,1.2832,0,0.00,限大额,开放赎回,0.00%
000086,NFWL1NDKZA,定开债券,南方稳利1年定开债A,1.0430,1.3710,1.0430,1.3710,0,0.00,暂停申购,暂停赎回,0.06%
000087,JSZZJBGZETFLJA,联接基金,嘉实中证金边国债ETF联接A,1.0399,1.0399,1.0376,1.0376,0.0023,0.22,暂停申购,开放赎回,0.05%
000088,JSZZJBGZETFLJC,联接基金,嘉实中证金边国债ETF联接C,1.0335,1.0335,1.0313,1.0313,0.0022,0.21,暂停申购,开放赎回,0.00%
000089,MSJYGDJXYZC,债券型,民生加银高等级信用债C,1.0155,1.0155,1.0154,1.0154,0.0001,0.01,开放申购,开放赎回,0.00%
000090,MSJYGDJXYZA,债券型,民生加银高等级信用债A,1.0166,1.0166,1.0165,1.0165,0.0001,0.01,开放申购,开放赎回,0.06%
000103,GTZGQYJWGSYZ,QDII,国泰中国企业境外高收益债,,,1.3590,1.3590,,,开放申购,开放赎回,0.08%
000104,HCWLWJTLZQA,债券型,华宸未来稳健添利债券A,1.1334,1.3434,1.1321,1.3421,0.0013,0.11,开放申购,开放赎回,0.08%
000105,JXAXHBZQA,定开债券,建信安心回报债券A,1.3860,1.3960,1.3850,1.3950,0.0010,0.07,暂停申购,暂停赎回,0.06%
000106,JXAXHBZQC,定开债券,建信安心回报债券C,1.3450,1.3550,1.3440,1.3540,0.0010,0.07,暂停申购,暂停赎回,0.00%
000107,FGWJZQZQAB,债券型,富国稳健增强债券A/B,1.2140,1.5370,1.2150,1.5380,-0.0010,-0.08,开放申购,开放赎回,0.08%
000109,FGWJZQZQC,债券型,富国稳健增强债券C,1.1920,1.4980,1.1920,1.4980,0,0.00,开放申购,开放赎回,0.00%
000110,JYYAHHA,混合型,金鹰元安混合A,1.5339,1.9277,1.5362,1.9306,-0.0023,-0.15,限大额,开放赎回,0.08%
000111,YFDCZ1NDKZA,定开债券,易方达纯债1年定开债A,1.0360,1.4090,1.0360,1.4090,0,0.00,暂停申购,暂停赎回,0.06%
000112,YFDCZ1NDKZC,定开债券,易方达纯债1年定开债C,1.0340,1.3820,1.0330,1.3810,0.0010,0.10,暂停申购,暂停赎回,0.00%
000113,JSRYBDQZQAB,定开债券,嘉实如意宝定期债券A/B,1.1750,1.4080,1.1750,1.4080,0,0.00,暂停申购,暂停赎回,0.05%
000115,JSRYBDQZQC,定开债券,嘉实如意宝定期债券C,1.1560,1.3720,1.1560,1.3720,0,0.00,暂停申购,暂停赎回,0.00%
000116,JSFYCZDQZQ,定开债券,嘉实丰益纯债定期债券,1.0081,1.3860,1.0078,1.3857,0.0003,0.03,暂停申购,暂停赎回,0.06%
000117,GFLDPZHH,混合型,广发轮动配置混合,3.7370,3.7370,3.7640,3.7640,-0.0270,-0.72,开放申购,开放赎回,0.15%
000118,GFJXZQA,债券型,广发聚鑫债券A,1.5540,2.1760,1.5580,2.18,-0.0040,-0.26,限大额,开放赎回,0.08%
000119,GFJXZQC,债券型,广发聚鑫债券C,1.5480,2.1450,1.5520,2.1490,-0.0040,-0.26,限大额,开放赎回,0.00%
000120,ZYMLZGHH,混合型,中银美丽中国混合,2.7670,2.8020,2.8150,2.85,-0.0480,-1.71,开放申购,开放赎回,0.15%
000121,HXYFHHA,混合型,华夏永福混合A,2.4650,2.4650,2.4680,2.4680,-0.0030,-0.12,开放申购,开放赎回,0.08%
000122,HTFSYZZQA,债券型,汇添富实业债债券A,1.2330,1.5070,1.2330,1.5070,0,0.00,开放申购,开放赎回,0.10%
000123,HTFSYZZQC,债券型,汇添富实业债债券C,1.1890,1.4630,1.1890,1.4630,0,0.00,开放申购,开放赎回,0.00%
000124,HBFWYXHH,混合型,华宝服务优选混合,3.9050,4.2050,3.9740,4.2740,-0.0690,-1.74,开放申购,开放赎回,0.15%
000126,ZSARHH,混合型,招商安润混合,2.8415,3.1855,2.8594,3.2034,-0.0179,-0.63,开放申购,开放赎回,0.15%
000127,NYHYLXHH,混合型,农银行业领先混合,4.1435,4.5380,4.18,4.5745,-0.0365,-0.87,开放申购,开放赎回,0.15%
000128,DCJADRZQA,债券型,大成景安短融债券A,1.2832,1.3882,1.2827,1.3877,0.0005,0.04,开放申购,开放赎回,0.00%
000129,DCJADRZQB,债券型,大成景安短融债券B,1.3149,1.4199,1.3143,1.4193,0.0006,0.05,开放申购,开放赎回,0.00%
000130,DCJXXYZZQA,债券型,大成景兴信用债债券A,1.3387,1.6387,1.3397,1.6397,-0.0010,-0.07,开放申购,开放赎回,0.08%
000131,DCJXXYZZQC,债券型,大成景兴信用债债券C,1.2980,1.5980,1.2990,1.5990,-0.0010,-0.08,开放申购,开放赎回,0.00%
000134,ZXBCJHZQA,债券型,中信保诚嘉鸿债券A,1.0108,1.0155,1.0103,1.0150,0.0005,0.05,暂停申购,开放赎回,0.80%
000135,ZXBCJHZQC,债券型,中信保诚嘉鸿债券C,1,1,1,1,0,0.00,暂停申购,开放赎回,0.00%
000136,MSJYCLJXHHA,混合型,民生加银策略精选混合A,5.3230,5.6840,5.3810,5.7420,-0.0580,-1.08,开放申购,开放赎回,0.15%
000137,MSJYSSZLZQA,定开债券,民生加银岁岁增利债券A,1.1471,1.5011,1.1461,1.5001,0.0010,0.09,暂停申购,暂停赎回,0.06%
000138,MSJYSSZLZQC,定开债券,民生加银岁岁增利债券C,1.1368,1.4658,1.1358,1.4648,0.0010,0.09,暂停申购,暂停赎回,0.00%
000139,FGGYQYZZQAB,债券型,富国国有企业债债券A/B,1.0071,1.3536,1.0068,1.3533,0.0003,0.03,限大额,开放赎回,0.08%
000141,FGGYQYZZQC,债券型,富国国有企业债债券C,1.0058,1.3233,1.0055,1.3230,0.0003,0.03,限大额,开放赎回,0.00%
000142,RTZQSYZQA,债券型,融通增强收益债券A,1.2245,1.5358,1.2270,1.5389,-0.0025,-0.20,开放申购,开放赎回,0.08%
000143,PHSZJLZQ,债券型,鹏华双债加利债券,1.7451,1.7951,1.7493,1.7993,-0.0042,-0.24,开放申购,开放赎回,0.08%
000147,YFDGDJXYZZQA,债券型,易方达高等级信用债债券A,1.1130,1.4090,1.1130,1.4090,0,0.00,限大额,开放赎回,0.08%
000148,YFDGDJXYZZQC,债券型,易方达高等级信用债债券C,1.1110,1.3960,1.11,1.3950,0.0010,0.09,限大额,开放赎回,0.00%
000149,HASZTLZQA,债券型,华安双债添利债券A,1.3035,1.6235,1.3065,1.6265,-0.0030,-0.23,开放申购,开放赎回,0.08%
000150,HASZTLZQC,债券型,华安双债添利债券C,1.2726,1.5926,1.2756,1.5956,-0.0030,-0.24,开放申购,开放赎回,0.00%
000152,DCJXCZZQA,债券型,大成景旭纯债债券A,1.0666,1.4391,1.0660,1.4385,0.0006,0.06,限大额,开放赎回,0.08%
000153,DCJXCZZQC,债券型,大成景旭纯债债券C,1.0636,1.4076,1.0630,1.4070,0.0006,0.06,限大额,开放赎回,0.00%
000165,GTRYCLJXHH,混合型,国投瑞银策略精选混合,2.6050,3.4990,2.6470,3.5410,-0.0420,-1.59,开放申购,开放赎回,0.15%
000166,ZHXXCYJXHH,混合型,中海信息产业精选混合,1.8528,2.6522,1.8823,2.6931,-0.0295,-1.57,开放申购,开放赎回,0.15%
000167,GFJYLHPZHHA,混合型,广发聚优灵活配置混合A,3.3350,3.5450,3.3850,3.5950,-0.05,-1.48,开放申购,开放赎回,0.15%
000171,YFDYFHBZQ,债券型,易方达裕丰回报债券,2.0980,2.0980,2.1070,2.1070,-0.0090,-0.43,开放申购,开放赎回,0.10%
000172,HTBRLHZQHHA,混合型,华泰柏瑞量化增强混合A,1.7260,2.8940,1.7310,2.8990,-0.0050,-0.29,开放申购,开放赎回,0.12%
000173,HTFML30HH,混合型,汇添富美丽30混合,3.6810,3.9330,3.7090,3.9610,-0.0280,-0.75,开放申购,开放赎回,0.15%
000174,HTFGXZZQA,债券型,汇添富高息债债券A,1.5860,1.6210,1.5860,1.6210,0,0.00,开放申购,开放赎回,0.10%
000175,HTFGXZZQC,债券型,汇添富高息债债券C,1.4940,1.5290,1.4940,1.5290,0,0.00,开放申购,开放赎回,0.00%
000176,JSHS300ZSYJZQ,股票指数,嘉实沪深300指数研究增强,2.0927,2.0927,2.1062,2.1062,-0.0135,-0.64,开放申购,开放赎回,0.10%
000179,GFMGFDCZS,QDII-指数,广发美国房地产指数,,,0.9890,1.4250,,,开放申购,开放赎回,0.13%
000180,GFMGFDCZSXH,QDII-指数,广发美国房地产指数现汇,,,0.1526,0.2187,,,限大额,开放赎回,1.30%
000181,JSCCSJJLZQA,债券型,景顺长城四季金利债券A,1.2330,1.4150,1.2340,1.4160,-0.0010,-0.08,开放申购,开放赎回,0.08%
000182,JSCCSJJLZQC,债券型,景顺长城四季金利债券C,1.2040,1.38,1.2050,1.3810,-0.0010,-0.08,开放申购,开放赎回,0.00%
000183,JSFYCLDQZQ,定开债券,嘉实丰益策略定期债券,1.0090,1.3890,1.0080,1.3880,0.0010,0.10,暂停申购,暂停赎回,0.06%
000184,GYTFZQA,债券型,工银添福债券A,1.6520,1.7980,1.6540,1.80,-0.0020,-0.12,开放申购,开放赎回,0.08%
000185,GYTFZQB,债券型,工银添福债券B,1.6360,1.7810,1.6390,1.7840,-0.0030,-0.18,开放申购,开放赎回,0.00%
000186,HTBRJJHZQ,债券型,华泰柏瑞季季红债券,1.0419,1.4055,1.0410,1.4046,0.0009,0.09,开放申购,开放赎回,0.08%
000187,HTBRFSCZZQA,债券型,华泰柏瑞丰盛纯债债券A,1.0174,1.43,1.0167,1.4293,0.0007,0.07,开放申购,开放赎回,0.08%
000188,HTBRFSCZZQC,债券型,华泰柏瑞丰盛纯债债券C,1.0146,1.3961,1.0139,1.3954,0.0007,0.07,开放申购,开放赎回,0.00%
000189,YFDFHZQA,债券型,易方达丰华债券A,1.3215,1.4263,1.3279,1.4330,-0.0064,-0.48,开放申购,开放赎回,0.08%
000190,ZYXHBLHPZHHA,混合型,中银新回报灵活配置混合A,1.75,2.07,1.75,2.07,0,0.00,开放申购,开放赎回,0.12%
000191,FGXYZZQAB,债券型,富国信用债债券A/B,1.1211,1.4116,1.1208,1.4113,0.0003,0.03,限大额,开放赎回,0.08%
000192,FGXYZZQC,债券型,富国信用债债券C,1.1123,1.3778,1.1120,1.3775,0.0003,0.03,限大额,开放赎回,0.00%
000194,YHXYSJHZQA,债券型,银华信用四季红债券A,1.0740,1.4780,1.0730,1.4770,0.0010,0.09,限大额,开放赎回,0.08%
000195,GYCZSYHHA,混合型,工银成长收益混合A,1.4630,1.99,1.4650,1.9930,-0.0020,-0.14,限大额,开放赎回,0.12%
000196,GYCZSYHHB,混合型,工银成长收益混合B,1.4210,1.8960,1.4230,1.8990,-0.0020,-0.14,限大额,开放赎回,0.00%
000197,FGMBSYYNQCZZQ,定开债券,富国目标收益一年期纯债债券,1.0920,1.3950,1.0920,1.3950,0,0.00,暂停申购,暂停赎回,0.06%
000199,GTLHCLSYHH,混合型,国泰量化策略收益混合,1.9930,2.3587,2.0052,2.3731,-0.0122,-0.61,开放申购,开放赎回,0.12%
000200,BSSSZLYNDKZ,定开债券,博时岁岁增利一年定开债,,,,,,,封闭期,封闭期,0.06%
000201,NATXYNDKZA,定开债券,诺安泰鑫一年定开债A,,,,,,,暂停申购,暂停赎回,0.06%
000205,YFDTZJXYZZQA,债券型,易方达投资级信用债债券A,1.1270,1.4410,1.1270,1.4410,0,0.00,开放申购,开放赎回,0.08%
000206,YFDTZJXYZZQC,债券型,易方达投资级信用债债券C,1.1260,1.4240,1.1250,1.4230,0.0010,0.09,开放申购,开放赎回,0.00%
000207,JXSZZQZQA,债券型,建信双债增强债券A,1.3090,1.3190,1.3280,1.3380,-0.0190,-1.43,限大额,开放赎回,0.08%
000208,JXSZZQZQC,债券型,建信双债增强债券C,1.2730,1.2830,1.2910,1.3010,-0.0180,-1.39,限大额,开放赎回,0.00%
000209,XCXXCYHH,混合型,信诚新兴产业混合,3.0230,3.0230,3.07,3.07,-0.0470,-1.53,开放申购,开放赎回,0.15%
000212,TXXYDQKFA,定开债券,泰信鑫益定期开放A,1.2060,1.3730,,,,,暂停申购,暂停赎回,0.06%
000213,TXXYDQKFC,定开债券,泰信鑫益定期开放C,1.1830,1.3370,,,,,暂停申购,暂停赎回,0.00%
000214,GFCZYXHH,混合型,广发成长优选混合,1.7660,1.9420,1.7680,1.9440,-0.0020,-0.11,限大额,开放赎回,0.15%
000215,GFQSYXLHPZHHA,混合型,广发趋势优选灵活配置混合A,1.6225,2.0215,1.6199,2.0189,0.0026,0.16,开放申购,开放赎回,0.15%
000216,HAHJYETFLJA,联接基金,华安黄金易ETF联接A,1.4051,1.4051,1.4095,1.4095,-0.0044,-0.31,开放申购,开放赎回,0.06%
000217,HAHJYETFLJC,联接基金,华安黄金易ETF联接C,1.3932,1.3932,1.3976,1.3976,-0.0044,-0.31,开放申购,开放赎回,0.00%
000218,GTHJETFLJA,联接基金,国泰黄金ETF联接A,1.4361,1.4361,1.4407,1.4407,-0.0046,-0.32,开放申购,开放赎回,0.07%
000219,BSYYHH,混合型,博时裕益混合,2.0490,2.3010,2.0470,2.2990,0.0020,0.10,开放申购,开放赎回,0.15%
000220,FGYLBJHYHHA,混合型,富国医疗保健行业混合A,5.1120,5.1120,5.19,5.19,-0.0780,-1.50,开放申购,开放赎回,0.15%
000221,HTFNNLDKZA,定开债券,汇添富年年利定开债A,1.3120,1.4280,1.3120,1.4280,0,0.00,暂停申购,暂停赎回,0.06%
000222,HTFNNLDKZC,定开债券,汇添富年年利定开债C,1.28,1.3880,1.2790,1.3870,0.0010,0.08,暂停申购,暂停赎回,0.00%
000225,CSNNSYDQZQA,定开债券,长盛年年收益定期债券A,1.1050,1.3180,1.1050,1.3180,0,0.00,限大额,开放赎回,0.06%
000226,CSNNSYDQZQC,定开债券,长盛年年收益定期债券C,1.0960,1.2910,1.0960,1.2910,0,0.00,限大额,开放赎回,0.00%
000227,HANNHZQA,定开债券,华安年年红债券A,,,,,,,暂停申购,暂停赎回,0.06%
000235,NAWGSYYNDKZ,定开债券,诺安稳固收益一年定开债,,,,,,,暂停申购,暂停赎回,0.00%
000236,GYYYXDQZFZQA,债券型,工银月月薪定期支付债券A,1.8010,1.8010,1.8090,1.8090,-0.0080,-0.44,限大额,开放赎回,0.08%
000239,HANNYDKZA,定开债券,华安年年盈定开债A,,,,,,,暂停申购,暂停赎回,0.06%
000240,HANNYDKZC,定开债券,华安年年盈定开债C,,,,,,,暂停申购,暂停赎回,0.00%
000241,BYHXYSHHC,混合型,宝盈核心优势混合C,1.4746,2.7216,1.5068,2.7538,-0.0322,-2.14,开放申购,开放赎回,0.00%
000242,JSCCCLJXLHPZHH,混合型,景顺长城策略精选灵活配置混合,2.2490,2.7990,2.2640,2.8140,-0.0150,-0.66,开放申购,开放赎回,0.15%
000244,THWLDQKFA,定开债券,天弘稳利定期开放A,1.1306,1.4506,1.1334,1.4534,-0.0028,-0.25,暂停申购,暂停赎回,0.06%
000245,THWLDQKFB,定开债券,天弘稳利定期开放B,1.11,1.4137,1.1129,1.4166,-0.0029,-0.26,暂停申购,暂停赎回,0.00%
000246,BSYYXDQZFZQ,定开债券,博时月月薪定期支付债券,,,,,,,封闭期,封闭期,0.00%
000248,HTFZZZYXFETFLJ,联接基金,汇添富中证主要消费ETF联接,3.6054,3.6054,3.6447,3.6447,-0.0393,-1.08,开放申购,开放赎回,0.10%
000251,GYJRDCHHA,混合型,工银金融地产混合A,2.7870,3.8310,2.8060,3.85,-0.0190,-0.68,开放申购,开放赎回,0.15%
000252,JSCCJXXYCZZQA,债券型,景顺长城景兴信用纯债债券A,1.1560,1.3870,1.1560,1.3870,0,0.00,限大额,开放赎回,0.08%
000253,JSCCJXXYCZZQC,债券型,景顺长城景兴信用纯债债券C,1.1520,1.3470,1.1520,1.3470,0,0.00,限大额,开放赎回,0.00%
000254,CCDKZA,定开债券,长城定开债A,1.1171,1.4563,1.1170,1.4562,0.0001,0.01,暂停申购,暂停赎回,0.06%
000255,CCDKZC,定开债券,长城定开债C,1.1144,1.4235,1.1143,1.4234,0.0001,0.01,暂停申购,暂停赎回,0.00%
000256,STMGHLHBHHA,混合型,上投摩根红利回报混合A,1.0669,1.4619,1.0683,1.4633,-0.0014,-0.13,开放申购,开放赎回,0.12%
000259,NYQJSYHH,混合型,农银区间收益混合,4.5765,4.5765,4.6357,4.6357,-0.0592,-1.28,开放申购,开放赎回,0.15%
000263,GYXXCYHH,混合型,工银信息产业混合,4.6530,4.93,4.6920,4.9690,-0.0390,-0.83,开放申购,开放赎回,0.15%
000264,BSNXZZHH,混合型,博时内需增长混合,1.8140,1.5850,1.83,1.5990,-0.0160,-0.87,开放申购,开放赎回,0.15%
000265,YFDHJTL1NDKZA,定开债券,易方达恒久添利1年定开债A,1.0190,1.3120,1.0190,1.3120,0,0.00,暂停申购,暂停赎回,0.06%
000266,YFDHJTL1NDKZC,定开债券,易方达恒久添利1年定开债C,1.0160,1.2840,1.0160,1.2840,0,0.00,暂停申购,暂停赎回,0.00%
000267,GFJLYNDKZA,定开债券,广发集利一年定开债A,,,,,,,暂停申购,暂停赎回,0.08%
000268,GFJLYNDKZC,定开债券,广发集利一年定开债C,,,,,,,暂停申购,暂停赎回,0.00%
000270,JXLHPZHH,混合型,建信灵活配置混合,1.1546,1.7636,1.1583,1.7692,-0.0037,-0.32,限大额,开放赎回,0.12%
000271,ZYDKZA,定开债券,中邮定开债A,,,,,,,暂停申购,暂停赎回,0.06%
000272,ZYDKZC,定开债券,中邮定开债C,,,,,,,暂停申购,暂停赎回,0.00%
000273,HRYDAXLHPZHHA,混合型,华润元大安鑫灵活配置混合A,1.8674,2.5894,1.8723,2.5943,-0.0049,-0.26,开放申购,开放赎回,0.12%
000274,GFYTZGSYZQ,QDII,广发亚太中高收益债券,,,1.3210,1.3910,,,限大额,开放赎回,0.08%
000275,GFYTZGSYZQXH,QDII,广发亚太中高收益债券现汇,,,0.2038,0.2145,,,限大额,开放赎回,0.80%
000277,BSSYXDQZFZQ,定开债券,博时双月薪定期支付债券,,,,,,,封闭期,封闭期,0.09%
000279,HSHLYXHH,混合型,华商红利优选混合,1.1410,2.5410,1.1510,2.5510,-0.01,-0.87,开放申购,开放赎回,0.15%
000286,YHXYJJHZQA,债券型,银华信用季季红债券A,1.0450,1.4180,1.0450,1.4180,0,0.00,限大额,开放赎回,0.07%
000289,PHFTDKZA,定开债券,鹏华丰泰定开债A,1.0476,1.4288,1.0471,1.4283,0.0005,0.05,暂停申购,暂停赎回,0.08%
000290,PHQQGSYZQDII,QDII,鹏华全球高收益债(QDII),,,1.2077,1.5422,,,开放申购,开放赎回,0.08%
